Samp1	Samp2	Val1	Val2
ASVH1	ASVM1	0.0264	0.1207
ASVH101	ASVM101	0.0095	0.0027
ASVH102	ASVM102	8.00E-04	0.0056
ASVH105	ASVM105	0.0139	0.0001
ASVH109	ASVM109	0.0057	0.0001
ASVH114	ASVM114	0.0015	0.004
ASVH115	ASVM115	0.0044	6.00E-04
ASVH116	ASVM116	0.004	0.0001
ASVH122	ASVM122	0.0033	0.0001
ASVH1232	ASVM1232	3.00E-04	0
ASVH124	ASVM124	0.0012	0
ASVH126	ASVM126	0.0203	0.0001
ASVH128	ASVM128	0.0019	0.003
ASVH13	ASVM13	0.0037	0.0243
ASVH136	ASVM136	0.0094	0.0001
ASVH138	ASVM138	0.0112	0.0013
ASVH14	ASVM14	0.0247	0.0264
ASVH147	ASVM147	0.0043	0.0001
ASVH149	ASVM149	0.0024	0
ASVH15	ASVM15	0.0033	0.0306
ASVH150	ASVM150	0.003	0.0001
ASVH158	ASVM158	0.0012	0
ASVH16	ASVM16	0.0048	0.0292
ASVH160	ASVM160	0.0016	0.0012
ASVH162	ASVM162	0.002	0.0016
ASVH171	ASVM171	0.0029	0.0014
ASVH175	ASVM175	0.0022	0.0002
ASVH178	ASVM178	9.00E-04	0.0001
ASVH187	ASVM187	0.0049	4.00E-04
ASVH194	ASVM194	0.0107	0
ASVH197	ASVM197	0.0531	6.00E-04
ASVH198	ASVM198	0.0219	0
ASVH202	ASVM202	0.004	7.00E-04
ASVH203	ASVM203	0.0074	0
ASVH206	ASVM206	0.0043	0
ASVH210	ASVM210	0.0037	0
ASVH212	ASVM212	0.004	0
ASVH214	ASVM214	0.0169	0.0001
ASVH221	ASVM221	0.0035	0
ASVH223	ASVM223	0.0087	5.00E-04
ASVH225	ASVM225	0.0012	0.0001
ASVH231	ASVM231	8.00E-04	6.00E-04
ASVH234	ASVM234	0.0016	0
ASVH236	ASVM236	0.0041	0
ASVH237	ASVM237	5.00E-04	0
ASVH247	ASVM247	5.00E-04	6.00E-04
ASVH254	ASVM254	7.00E-04	2.00E-04
ASVH266	ASVM266	0.0024	0
ASVH268	ASVM268	0.0134	0.0001
ASVH277	ASVM277	0.0029	0
ASVH279	ASVM279	0.0023	0
ASVH28	ASVM28	0.0291	0.0323
ASVH285	ASVM285	0.0015	2.00E-04
ASVH286	ASVM286	0.0044	0.0001
ASVH29	ASVM29	0.0068	0.0419
ASVH300	ASVM300	0.0027	5.00E-04
ASVH309	ASVM309	0.0135	0
ASVH31	ASVM31	0.0039	0.0267
ASVH323	ASVM323	5.00E-04	2.00E-04
ASVH330	ASVM330	0.0093	0.0001
ASVH335	ASVM335	0.0053	0
ASVH342	ASVM342	9.00E-04	0
ASVH346	ASVM346	7.00E-04	0
ASVH347	ASVM347	0.006	0
ASVH35	ASVM35	0.0052	0.0082
ASVH359	ASVM359	0.0042	0
ASVH36	ASVM36	0.0084	0.0273
ASVH371	ASVM371	0.0015	0
ASVH38	ASVM38	0.0013	0.0028
ASVH383	ASVM383	0.0025	0
ASVH386	ASVM386	7.00E-04	0
ASVH40	ASVM40	0.0974	0.0037
ASVH419	ASVM419	0.0012	0
ASVH42	ASVM42	0.0369	0.015
ASVH421	ASVM421	0.0049	0
ASVH428	ASVM428	0.0088	0
ASVH454	ASVM454	0.0028	0
ASVH478	ASVM478	0.0074	0
ASVH479	ASVM479	0.0022	0
ASVH48	ASVM48	0.0094	0.0127
ASVH485	ASVM485	5.00E-04	0
ASVH495	ASVM495	6.00E-04	0.0001
ASVH5	ASVM5	0.0175	0.0407
ASVH50	ASVM50	0.0147	0.0124
ASVH536	ASVM536	6.00E-04	0.0001
ASVH55	ASVM55	0.0363	0.0023
ASVH567	ASVM567	6.00E-04	0
ASVH57	ASVM57	0.0012	0.0021
ASVH577	ASVM577	0.0039	0
ASVH578	ASVM578	3.00E-04	0.0001
ASVH6	ASVM6	0.0301	0.0536
ASVH62	ASVM62	0.0022	0.0001
ASVH621	ASVM621	0.004	0
ASVH64	ASVM64	0.0013	0.0002
ASVH662	ASVM662	0.0017	0
ASVH69	ASVM69	0.0095	3.00E-04
ASVH708	ASVM708	0.0026	0
ASVH712	ASVM712	0.0011	0
ASVH722	ASVM722	0.0018	0
ASVH728	ASVM728	4.00E-04	0
ASVH74	ASVM74	4.00E-04	0.0036
ASVH76	ASVM76	8.00E-04	1.00E-04
ASVH87	ASVM87	7.00E-04	0.0021
ASVH888	ASVM888	0.0022	0
ASVH9	ASVM9	0.0267	0.0357
ASVH92	ASVM92	7.00E-04	0.0032
ASVH93	ASVM93	0.0135	0.0001
ASVH935	ASVM935	4.00E-04	0.0001
ASVH95	ASVM95	0.0468	0
ASVH1	ASVP1	0.0264	4.00E-04
ASVH101	ASVP101	0.0095	8.00E-04
ASVH102	ASVP102	8.00E-04	8.00E-04
ASVH105	ASVP105	0.0139	0.0106
ASVH109	ASVP109	0.0057	0.0242
ASVH114	ASVP114	0.0015	0.0019
ASVH115	ASVP115	0.0044	0.0025
ASVH116	ASVP116	0.004	0.0324
ASVH122	ASVP122	0.0033	0.0154
ASVH1232	ASVP1232	3.00E-04	0.0001
ASVH124	ASVP124	0.0012	1.00E-04
ASVH126	ASVP126	0.0203	0.0032
ASVH128	ASVP128	0.0019	0.004
ASVH13	ASVP13	0.0037	0.003
ASVH136	ASVP136	0.0094	0.0141
ASVH138	ASVP138	0.0112	0.0036
ASVH14	ASVP14	0.0247	0.0351
ASVH147	ASVP147	0.0043	0.0036
ASVH149	ASVP149	0.0024	0.0057
ASVH15	ASVP15	0.0033	0.0058
ASVH150	ASVP150	0.003	0.0064
ASVH158	ASVP158	0.0012	0.0096
ASVH16	ASVP16	0.0048	0.0394
ASVH160	ASVP160	0.0016	0.0026
ASVH162	ASVP162	0.002	0.0023
ASVH171	ASVP171	0.0029	0.0037
ASVH175	ASVP175	0.0022	0.0053
ASVH178	ASVP178	9.00E-04	1.00E-04
ASVH187	ASVP187	0.0049	0.0023
ASVH194	ASVP194	0.0107	0.0036
ASVH197	ASVP197	0.0531	0.0019
ASVH198	ASVP198	0.0219	0.0074
ASVH202	ASVP202	0.004	2.00E-04
ASVH203	ASVP203	0.0074	0.0069
ASVH206	ASVP206	0.0043	0.0016
ASVH210	ASVP210	0.0037	0.0045
ASVH212	ASVP212	0.004	0.011
ASVH214	ASVP214	0.0169	0.007
ASVH221	ASVP221	0.0035	0.0023
ASVH223	ASVP223	0.0087	0.0015
ASVH225	ASVP225	0.0012	0
ASVH231	ASVP231	8.00E-04	7.00E-04
ASVH234	ASVP234	0.0016	0.0021
ASVH236	ASVP236	0.0041	0.0047
ASVH237	ASVP237	5.00E-04	0.0035
ASVH247	ASVP247	5.00E-04	0.0001
ASVH254	ASVP254	7.00E-04	5.00E-04
ASVH266	ASVP266	0.0024	0.0012
ASVH268	ASVP268	0.0134	0.0026
ASVH277	ASVP277	0.0029	2.00E-04
ASVH279	ASVP279	0.0023	0.0031
ASVH28	ASVP28	0.0291	0.0061
ASVH285	ASVP285	0.0015	3.00E-04
ASVH286	ASVP286	0.0044	0.0001
ASVH29	ASVP29	0.0068	0.0084
ASVH300	ASVP300	0.0027	1.00E-04
ASVH309	ASVP309	0.0135	1.00E-04
ASVH31	ASVP31	0.0039	0.0043
ASVH323	ASVP323	5.00E-04	1.00E-04
