Samp	Val
ASVH1	1
ASVH101	2
ASVH102	3
ASVH105	4
ASVH109	5
ASVH114	6
ASVH115	7
ASVH116	8
ASVH122	9
ASVH1232	10
ASVH124	11
ASVH126	12
ASVH128	13
ASVH13	14
ASVH136	15
ASVH138	16
ASVH14	17
ASVH147	18
ASVH149	19
ASVH15	20
ASVH150	21
ASVH158	22
ASVH16	23
ASVH160	24
ASVH162	25
ASVH171	26
ASVH175	27
ASVH178	28
ASVH187	29
ASVH194	30
ASVH197	31
ASVH198	32
ASVH202	33
ASVH203	34
ASVH206	35
ASVH210	36
ASVH212	37
ASVH214	38
ASVH221	39
ASVH223	40
ASVH225	41
ASVH231	42
ASVH234	43
ASVH236	44
ASVH237	45
ASVH247	46
ASVH254	47
ASVH266	48
ASVH268	49
ASVH277	50
ASVH279	51
ASVH28	52
ASVH285	53
ASVH286	54
ASVH29	55
ASVH300	56
ASVH309	57
ASVH31	58
ASVH323	59
ASVH330	60
ASVH335	61
ASVH342	62
ASVH346	63
ASVH347	64
ASVH35	65
ASVH359	66
ASVH36	67
ASVH371	68
ASVH38	69
ASVH383	70
ASVH386	71
ASVH40	72
ASVH419	73
ASVH42	74
ASVH421	75
ASVH428	76
ASVH454	77
ASVH478	78
ASVH479	79
ASVH48	80
ASVH485	81
ASVH495	82
ASVH5	83
ASVH50	84
ASVH536	85
ASVH55	86
ASVH567	87
ASVH57	88
ASVH577	89
ASVH578	90
ASVH6	91
ASVH62	92
ASVH621	93
ASVH64	94
ASVH662	95
ASVH69	96
ASVH708	97
ASVH712	98
ASVH722	99
ASVH728	100
ASVH74	101
ASVH76	102
ASVH87	103
ASVH888	104
ASVH9	105
ASVH92	106
ASVH93	107
ASVH935	108
ASVH95	109
