OTU	Donor	Mean	SD
ASV_1015	ADLT2	0.0267	0.0047
ASV_1035	ADLT2	0.0019	5.00E-04
ASV_1036	ADLT2	0.0012	4.00E-04
ASV_1038	ADLT2	0.0094	6.00E-04
ASV_110	ADLT2	0.0025	0.0015
ASV_118	ADLT2	0.0029	3.00E-04
ASV_133	ADLT2	0.0015	7.00E-04
ASV_1749	ADLT2	0.0247	0.0051
ASV_1908	ADLT2	0.0048	0.0029
ASV_2	ADLT2	0.0077	0.003
ASV_2060	ADLT2	0.0052	6.00E-04
ASV_2298	ADLT2	0.0042	8.00E-04
ASV_2303	ADLT2	0.0219	0.0016
ASV_2317	ADLT2	0.0017	2.00E-04
ASV_2327	ADLT2	0.0134	8.00E-04
ASV_2330	ADLT2	0.0074	0.0053
ASV_2355	ADLT2	0.0088	0.001
ASV_2368	ADLT2	0.0016	5.00E-04
ASV_2414	ADLT2	0.0012	4.00E-04
ASV_2416	ADLT2	0.0011	1.00E-04
ASV_2480	ADLT2	0.0095	0.0025
ASV_2484	ADLT2	0.0023	4.00E-04
ASV_2513	ADLT2	0.0057	0.001
ASV_2641	ADLT2	0.0013	6.00E-04
ASV_275	ADLT2	0.0018	5.00E-04
ASV_2789	ADLT2	0.004	4.00E-04
ASV_2937	ADLT2	7.00E-04	1.00E-04
ASV_2960	ADLT2	6.00E-04	2.00E-04
ASV_3044	ADLT2	0.0033	3.00E-04
ASV_3045	ADLT2	5.00E-04	3.00E-04
ASV_3057	ADLT2	9.00E-04	3.00E-04
ASV_3063	ADLT2	0.0074	8.00E-04
ASV_3110	ADLT2	3.00E-04	1.00E-04
ASV_3118	ADLT2	0.0024	3.00E-04
ASV_3126	ADLT2	0.0022	5.00E-04
ASV_3133	ADLT2	0.003	2.00E-04
ASV_3153	ADLT2	7.00E-04	3.00E-04
ASV_3158	ADLT2	4.00E-04	1.00E-04
ASV_3194	ADLT2	0.0013	2.00E-04
ASV_3211	ADLT2	0.0014	3.00E-04
ASV_3233	ADLT2	0.0107	0.0021
ASV_3236	ADLT2	0.0468	0.0137
ASV_3238	ADLT2	0.0531	0.0151
ASV_3240	ADLT2	0.0042	0.0015
ASV_3255	ADLT2	0.0013	2.00E-04
ASV_326	ADLT2	4.00E-04	2.00E-04
ASV_3279	ADLT2	0.0203	0.0017
ASV_3281	ADLT2	0.0039	0.0014
ASV_3282	ADLT2	0.0022	7.00E-04
ASV_3292	ADLT2	0.0974	0.0041
ASV_3309	ADLT2	0.003	0.0013
ASV_3338	ADLT2	0.0021	0.0014
ASV_3410	ADLT2	0.0301	0.0045
ASV_3455	ADLT2	0.0045	8.00E-04
ASV_3506	ADLT2	7.00E-04	4.00E-04
ASV_353	ADLT2	0.0044	0.0015
ASV_3541	ADLT2	0.0028	8.00E-04
ASV_3577	ADLT2	0.0067	0.0019
ASV_3583	ADLT2	0.0012	1.00E-04
ASV_3643	ADLT2	0.0043	0.0011
ASV_3674	ADLT2	4.00E-04	2.00E-04
ASV_3768	ADLT2	0.0095	0.003
ASV_3802	ADLT2	0.0022	8.00E-04
ASV_3854	ADLT2	7.00E-04	2.00E-04
ASV_3882	ADLT2	5.00E-04	2.00E-04
ASV_3902	ADLT2	0.0369	0.0218
ASV_3904	ADLT2	0.0027	0.0014
ASV_3922	ADLT2	6.00E-04	2.00E-04
ASV_3942	ADLT2	7.00E-04	5.00E-04
ASV_3951	ADLT2	0.0087	0.0037
