OTU	Donor	Mean	SD
ASV_1015	ADLT2	0.0357	0.0203
ASV_1035	ADLT2	0.003	0.0025
ASV_1036	ADLT2	0.0021	0.0019
ASV_1038	ADLT2	0.0127	0.0087
ASV_110	ADLT2	0	0
ASV_118	ADLT2	0	0
ASV_133	ADLT2	0	0
ASV_1749	ADLT2	0.0264	0.0248
ASV_1908	ADLT2	0.0292	0.0391
ASV_2	ADLT2	0	0
ASV_2060	ADLT2	0.0082	0.0048
ASV_2298	ADLT2	0	0
ASV_2303	ADLT2	0	0
ASV_2317	ADLT2	0	0
ASV_2327	ADLT2	0	0
ASV_2330	ADLT2	0	0
ASV_2355	ADLT2	0	0
ASV_2368	ADLT2	0	0
ASV_2414	ADLT2	0	0
ASV_2416	ADLT2	0	0
ASV_2480	ADLT2	3e-04	0.0012
ASV_2484	ADLT2	0	0
ASV_2513	ADLT2	0	1e-04
ASV_2641	ADLT2	0	2e-04
ASV_275	ADLT2	0	0
ASV_2789	ADLT2	0	0
ASV_2937	ADLT2	0.0021	0.0021
ASV_2960	ADLT2	0	0
ASV_3044	ADLT2	0	0
ASV_3045	ADLT2	0	0
ASV_3057	ADLT2	0	0
ASV_3063	ADLT2	0	0
ASV_3110	ADLT2	0	0
ASV_3118	ADLT2	0	0
ASV_3126	ADLT2	0	0
ASV_3133	ADLT2	0	0
ASV_3153	ADLT2	0	0
ASV_3158	ADLT2	0	0
ASV_3194	ADLT2	0	0
ASV_3211	ADLT2	0	0
ASV_3233	ADLT2	0	0
ASV_3236	ADLT2	0	0
ASV_3238	ADLT2	6e-04	0.0039
ASV_3240	ADLT2	0	0
ASV_3255	ADLT2	0.0028	0.002
ASV_326	ADLT2	0	0
ASV_3279	ADLT2	0	0
ASV_3281	ADLT2	0	0
ASV_3282	ADLT2	0	0
ASV_3292	ADLT2	0.0037	0.0168
ASV_3309	ADLT2	0	0
ASV_3338	ADLT2	0	0
ASV_3410	ADLT2	0.0536	0.0323
ASV_3455	ADLT2	0	0
ASV_3506	ADLT2	0	0
ASV_353	ADLT2	6e-04	0.0036
ASV_3541	ADLT2	0	0
ASV_3577	ADLT2	0	0
ASV_3583	ADLT2	0	0
ASV_3643	ADLT2	0	0
ASV_3674	ADLT2	0	0
ASV_3768	ADLT2	0.0027	0.0113
ASV_3802	ADLT2	0	0
ASV_3854	ADLT2	2e-04	2e-04
ASV_3882	ADLT2	6e-04	6e-04
ASV_3902	ADLT2	0.015	0.0117
ASV_3904	ADLT2	5e-04	9e-04
ASV_3922	ADLT2	0	1e-04
ASV_3942	ADLT2	0.0032	0.0038
ASV_3951	ADLT2	5e-04	0.0012
ASV_4213	ADLT2	0	0
ASV_4220	ADLT2	6e-04	0.0012
ASV_4232	ADLT2	0	0
ASV_4421	ADLT2	0	0
ASV_4458	ADLT2	0	0
ASV_4477	ADLT2	0	0
ASV_4613	ADLT2	0.0273	0.0179
ASV_4743	ADLT2	0	0
ASV_4820	ADLT2	0	0
ASV_4822	ADLT2	0	0
ASV_4823	ADLT2	0	0
ASV_5251	ADLT2	0.0023	0.0015
ASV_5256	ADLT2	4e-04	3e-04
ASV_5262	ADLT2	0	2e-04
ASV_5294	ADLT2	0	0
ASV_5320	ADLT2	0.0016	8e-04
ASV_5337	ADLT2	0	0
ASV_5343	ADLT2	7e-04	6e-04
ASV_5387	ADLT2	0.0419	0.0206
ASV_54	ADLT2	0	0
ASV_5452	ADLT2	0.0407	0.0296
ASV_5466	ADLT2	0.004	0.0018
ASV_5471	ADLT2	0.0243	0.0318
ASV_5474	ADLT2	0.0267	0.0252
ASV_5475	ADLT2	0.0306	0.0185
ASV_55	ADLT2	0	0
ASV_5505	ADLT2	0.0124	0.0082
ASV_5540	ADLT2	2e-04	3e-04
ASV_5559	ADLT2	0.0013	0.0012
ASV_5746	ADLT2	0.0056	0.004
ASV_5882	ADLT2	0	0
ASV_5883	ADLT2	0	0
ASV_5894	ADLT2	0	0
ASV_5902	ADLT2	0	0
ASV_5910	ADLT2	0	0
ASV_5915	ADLT2	0	1e-04
ASV_5932	ADLT2	0.0012	9e-04
ASV_5963	ADLT2	2e-04	6e-04
ASV_6016	ADLT2	0	1e-04
ASV_6047	ADLT2	0	0
ASV_6057	ADLT2	0	0
ASV_6067	ADLT2	0.1207	0.0631
ASV_6077	ADLT2	0	1e-04
ASV_6090	ADLT2	0	0
ASV_6094	ADLT2	0	1e-04
ASV_6145	ADLT2	0	1e-04
ASV_6185	ADLT2	0.0036	0.0028
ASV_6235	ADLT2	0	0
ASV_6252	ADLT2	0	0
ASV_6261	ADLT2	0	0
ASV_6265	ADLT2	0	0
ASV_6268	ADLT2	0	0
ASV_6272	ADLT2	0	1e-04
ASV_6276	ADLT2	0	0
ASV_63	ADLT2	0	0
ASV_74	ADLT2	0	0
ASV_740	ADLT2	0	0
ASV_774	ADLT2	0.0014	0.0019
ASV_777	ADLT2	0	0
ASV_778	ADLT2	0	0
ASV_785	ADLT2	0	1e-04
ASV_789	ADLT2	0	0
ASV_793	ADLT2	0	0
ASV_805	ADLT2	1e-04	4e-04
ASV_813	ADLT2	0	0
ASV_851	ADLT2	0	0
ASV_852	ADLT2	0	0
ASV_877	ADLT2	0	1e-04
ASV_891	ADLT2	0	0
ASV_919	ADLT2	0.0323	0.0478
