OTU	Donor	Mean	SD
ASV_1015	ADLT2	0.0193	0.0277
ASV_1035	ADLT2	0.004	0.0037
ASV_1036	ADLT2	0.0038	0.0037
ASV_1038	ADLT2	0.0222	0.0173
ASV_110	ADLT2	0	0
ASV_118	ADLT2	2e-04	3e-04
ASV_133	ADLT2	0.001	0.0014
ASV_1749	ADLT2	0.0351	0.0304
ASV_1908	ADLT2	0.0394	0.0222
ASV_2	ADLT2	0	0
ASV_2060	ADLT2	0.0013	0.002
ASV_2298	ADLT2	0.0013	0.002
ASV_2303	ADLT2	0.0074	0.0057
ASV_2317	ADLT2	1e-04	2e-04
ASV_2327	ADLT2	0.0026	0.0029
ASV_2330	ADLT2	4e-04	5e-04
ASV_2355	ADLT2	3e-04	6e-04
ASV_2368	ADLT2	0	0
ASV_2414	ADLT2	0	0
ASV_2416	ADLT2	1e-04	1e-04
ASV_2480	ADLT2	0.0093	0.0071
ASV_2484	ADLT2	0.0031	0.0035
ASV_2513	ADLT2	0.0242	0.0169
ASV_2641	ADLT2	0.0028	0.0042
ASV_275	ADLT2	2e-04	4e-04
ASV_2789	ADLT2	0.011	0.0082
ASV_2937	ADLT2	7e-04	0.0012
ASV_2960	ADLT2	3e-04	5e-04
ASV_3044	ADLT2	0	0
ASV_3045	ADLT2	5e-04	6e-04
ASV_3057	ADLT2	0.0013	0.0024
ASV_3063	ADLT2	0.0069	0.0042
ASV_3110	ADLT2	0	0
ASV_3118	ADLT2	0.0012	0.0024
ASV_3126	ADLT2	2e-04	4e-04
ASV_3133	ADLT2	0	0
ASV_3153	ADLT2	1e-04	4e-04
ASV_3158	ADLT2	1e-04	4e-04
ASV_3194	ADLT2	0	0
ASV_3211	ADLT2	0	0
ASV_3233	ADLT2	0.0036	0.0047
ASV_3236	ADLT2	0.0115	0.0182
ASV_3238	ADLT2	0.0019	0.0035
ASV_3240	ADLT2	0	0
ASV_3255	ADLT2	0.0023	0.0016
ASV_326	ADLT2	0	0
ASV_3279	ADLT2	0.0032	0.0039
ASV_3281	ADLT2	2e-04	6e-04
ASV_3282	ADLT2	1e-04	3e-04
ASV_3292	ADLT2	0.0598	0.0734
ASV_3309	ADLT2	0.0064	0.0024
ASV_3338	ADLT2	0	0
ASV_3410	ADLT2	0.0304	0.026
ASV_3455	ADLT2	0	0
ASV_3506	ADLT2	0.0018	0.0014
ASV_353	ADLT2	0.0025	0.0024
ASV_3541	ADLT2	0.0012	0.0026
ASV_3577	ADLT2	0	0
ASV_3583	ADLT2	0	0
ASV_3643	ADLT2	0.0036	0.0025
ASV_3674	ADLT2	0	0
ASV_3768	ADLT2	8e-04	0.0028
ASV_3802	ADLT2	0	0
ASV_3854	ADLT2	5e-04	5e-04
ASV_3882	ADLT2	0	1e-04
ASV_3902	ADLT2	0.0028	0.0036
ASV_3904	ADLT2	1e-04	3e-04
ASV_3922	ADLT2	0	0
ASV_3942	ADLT2	0.0013	7e-04
ASV_3951	ADLT2	0.0015	0.0021
ASV_4213	ADLT2	0	0
ASV_4220	ADLT2	7e-04	0.0011
ASV_4232	ADLT2	0.0016	0.0028
ASV_4421	ADLT2	0	0
ASV_4458	ADLT2	0	0
ASV_4477	ADLT2	0	0
ASV_4613	ADLT2	0.0074	0.0097
ASV_4743	ADLT2	0	0
ASV_4820	ADLT2	0	0
ASV_4822	ADLT2	0	0
ASV_4823	ADLT2	0	0
ASV_5251	ADLT2	0.0051	0.0042
ASV_5256	ADLT2	0.0023	0.0026
ASV_5262	ADLT2	0.0053	0.0059
ASV_5294	ADLT2	0	1e-04
ASV_5320	ADLT2	0.0023	0.003
ASV_5337	ADLT2	1e-04	2e-04
ASV_5343	ADLT2	2e-04	3e-04
ASV_5387	ADLT2	0.0084	0.0082
ASV_54	ADLT2	0.0021	0.0017
ASV_5452	ADLT2	0.0284	0.0295
ASV_5466	ADLT2	0.0019	0.0036
ASV_5471	ADLT2	0.003	0.0075
ASV_5474	ADLT2	0.0043	0.0092
ASV_5475	ADLT2	0.0058	0.007
ASV_55	ADLT2	0.0096	0.0088
ASV_5505	ADLT2	0.0186	0.0134
ASV_5540	ADLT2	3e-04	7e-04
ASV_5559	ADLT2	0.0036	0.0039
ASV_5746	ADLT2	8e-04	0.0011
ASV_5882	ADLT2	0	0
ASV_5883	ADLT2	1e-04	1e-04
ASV_5894	ADLT2	0	0
ASV_5902	ADLT2	0.0047	0.0032
ASV_5910	ADLT2	0	0
ASV_5915	ADLT2	1e-04	1e-04
ASV_5932	ADLT2	0.0026	0.0016
ASV_5963	ADLT2	1e-04	3e-04
ASV_6016	ADLT2	0.0141	0.0094
ASV_6047	ADLT2	8e-04	0.0013
ASV_6057	ADLT2	0.0045	0.0046
ASV_6067	ADLT2	4e-04	0.0011
ASV_6077	ADLT2	0.0491	0.0434
ASV_6090	ADLT2	1e-04	5e-04
ASV_6094	ADLT2	0.0286	0.023
ASV_6145	ADLT2	0.0324	0.0235
ASV_6185	ADLT2	0.0074	0.0063
ASV_6235	ADLT2	1e-04	2e-04
ASV_6252	ADLT2	0	0
ASV_6261	ADLT2	2e-04	3e-04
ASV_6265	ADLT2	1e-04	2e-04
ASV_6268	ADLT2	0	0
ASV_6272	ADLT2	0.0154	0.0162
ASV_6276	ADLT2	0.0023	0.0035
ASV_63	ADLT2	0.0106	0.0082
ASV_74	ADLT2	0.0015	0.001
ASV_740	ADLT2	0.007	0.0062
ASV_774	ADLT2	0.0037	0.0068
ASV_777	ADLT2	1e-04	3e-04
ASV_778	ADLT2	0	0
ASV_785	ADLT2	0	0
ASV_789	ADLT2	0	1e-04
ASV_793	ADLT2	0.0057	0.007
ASV_805	ADLT2	0.011	0.0076
ASV_813	ADLT2	0.0035	0.0038
ASV_851	ADLT2	0.0011	9e-04
ASV_852	ADLT2	0	0
ASV_877	ADLT2	0	0
ASV_891	ADLT2	0	0
ASV_919	ADLT2	0.0061	0.0058
