Samp1	Samp2	Val1	Val2
ASVH1015	ASVM1015	0.0461	0.0733
ASVH110	ASVM110	0.0023	0.0018
ASVH118	ASVM118	0.0195	0
ASVH133	ASVM133	0.0042	0
ASVH139	ASVM139	0.0023	0.002
ASVH1749	ASVM1749	0.0144	0.0241
ASVH1908	ASVM1908	0.006	2.00E-04
ASVH2060	ASVM2060	0.0025	0.0117
ASVH2161	ASVM2161	8.00E-04	0.0135
ASVH227	ASVM227	0.0015	0
ASVH2323	ASVM2323	0.0018	0.0011
ASVH2377	ASVM2377	0.0022	0
ASVH2464	ASVM2464	4.00E-04	0
ASVH2641	ASVM2641	0.0026	0
ASVH2654	ASVM2654	0.0051	0
ASVH2789	ASVM2789	0.0113	0
ASVH2881	ASVM2881	0.0053	0.0013
ASVH2894	ASVM2894	0.0289	0
ASVH2973	ASVM2973	0.0231	0.0118
ASVH3233	ASVM3233	0.0309	0
ASVH3236	ASVM3236	0.0988	0
ASVH3279	ASVM3279	0.0633	4.00E-04
ASVH3350	ASVM3350	0.0071	0
ASVH3359	ASVM3359	7.00E-04	0
ASVH353	ASVM353	0.0167	0
ASVH3543	ASVM3543	0.0042	0.0012
ASVH3643	ASVM3643	0.0037	3.00E-04
ASVH3767	ASVM3767	0.0191	0.0354
ASVH3772	ASVM3772	0.0518	0.027
ASVH3778	ASVM3778	0.0098	0
ASVH3975	ASVM3975	0.0016	9.00E-04
ASVH524	ASVM524	9.00E-04	0.0027
ASVH5251	ASVM5251	0.0083	0.0023
ASVH5395	ASVM5395	0.0069	0.0934
ASVH54	ASVM54	0.0073	0
ASVH5462	ASVM5462	0.0292	0.0245
ASVH5464	ASVM5464	0.0039	0.0201
ASVH5470	ASVM5470	0.0113	0.0577
ASVH5471	ASVM5471	0.0071	0.0424
ASVH5475	ASVM5475	0.016	0.0506
ASVH55	ASVM55	0.0037	0
ASVH5820	ASVM5820	0.0324	0.0069
ASVH5835	ASVM5835	0.0018	4.00E-04
ASVH5836	ASVM5836	0.0034	0.0021
ASVH5969	ASVM5969	0.0024	0.0024
