Samp1	Samp2	Col
ASVH1	ASVM1	dark green
ASVH10	ASVM10	dark green
ASVH105	ASVM105	dark green
ASVH107	ASVM107	dark green
ASVH11	ASVM11	dark green
ASVH115	ASVM115	dark green
ASVH12	ASVM12	dark green
ASVH123	ASVM123	dark green
ASVH126	ASVM126	dark green
ASVH13	ASVM13	dark green
ASVH131	ASVM131	dark green
ASVH14	ASVM14	dark green
ASVH147	ASVM147	dark green
ASVH149	ASVM149	dark green
ASVH15	ASVM15	dark green
ASVH158	ASVM158	dark green
ASVH16	ASVM16	dark green
ASVH176	ASVM176	dark green
ASVH19	ASVM19	dark green
ASVH194	ASVM194	dark green
ASVH2	ASVM2	dark green
ASVH20	ASVM20	dark green
ASVH209	ASVM209	dark green
ASVH210	ASVM210	dark green
ASVH212	ASVM212	dark green
ASVH22	ASVM22	dark green
ASVH225	ASVM225	dark green
ASVH234	ASVM234	dark green
ASVH235	ASVM235	dark green
ASVH238	ASVM238	dark green
ASVH246	ASVM246	dark green
ASVH25	ASVM25	dark green
ASVH277	ASVM277	dark green
ASVH28	ASVM28	dark green
ASVH290	ASVM290	dark green
ASVH293	ASVM293	dark green
ASVH3	ASVM3	dark green
ASVH30	ASVM30	dark green
ASVH304	ASVM304	dark green
ASVH309	ASVM309	dark green
ASVH310	ASVM310	dark green
ASVH33	ASVM33	dark green
ASVH334	ASVM334	dark green
ASVH34	ASVM34	dark green
ASVH35	ASVM35	dark green
ASVH363	ASVM363	dark green
ASVH371	ASVM371	dark green
ASVH383	ASVM383	dark green
ASVH397	ASVM397	dark green
ASVH41	ASVM41	dark green
ASVH44	ASVM44	dark green
ASVH51	ASVM51	dark green
ASVH55	ASVM55	dark green
ASVH62	ASVM62	dark green
ASVH620	ASVM620	dark green
ASVH64	ASVM64	dark green
ASVH65	ASVM65	dark green
ASVH78	ASVM78	dark green
ASVH79	ASVM79	dark green
ASVH81	ASVM81	dark green
ASVH88	ASVM88	dark green
ASVH9	ASVM9	dark green
ASVH95	ASVM95	dark green
ASVH96	ASVM96	dark green
ASVH98	ASVM98	dark green
ASVH1	ASVP1	dark blue
ASVH10	ASVP10	dark blue
ASVH105	ASVP105	dark blue
ASVH107	ASVP107	dark blue
ASVH11	ASVP11	dark blue
ASVH115	ASVP115	dark blue
ASVH12	ASVP12	dark blue
ASVH123	ASVP123	dark blue
ASVH126	ASVP126	dark blue
ASVH13	ASVP13	dark blue
ASVH131	ASVP131	dark blue
ASVH14	ASVP14	dark blue
ASVH147	ASVP147	dark blue
ASVH149	ASVP149	dark blue
ASVH15	ASVP15	dark blue
ASVH158	ASVP158	dark blue
ASVH16	ASVP16	dark blue
ASVH176	ASVP176	dark blue
ASVH19	ASVP19	dark blue
ASVH194	ASVP194	dark blue
ASVH2	ASVP2	dark blue
ASVH20	ASVP20	dark blue
ASVH209	ASVP209	dark blue
ASVH210	ASVP210	dark blue
ASVH212	ASVP212	dark blue
ASVH22	ASVP22	dark blue
ASVH225	ASVP225	dark blue
ASVH234	ASVP234	dark blue
ASVH235	ASVP235	dark blue
ASVH238	ASVP238	dark blue
ASVH246	ASVP246	dark blue
ASVH25	ASVP25	dark blue
ASVH277	ASVP277	dark blue
ASVH28	ASVP28	dark blue
ASVH290	ASVP290	dark blue
ASVH293	ASVP293	dark blue
ASVH3	ASVP3	dark blue
ASVH30	ASVP30	dark blue
ASVH304	ASVP304	dark blue
ASVH309	ASVP309	dark blue
ASVH310	ASVP310	dark blue
ASVH33	ASVP33	dark blue
ASVH334	ASVP334	dark blue
ASVH34	ASVP34	dark blue
ASVH35	ASVP35	dark blue
ASVH363	ASVP363	dark blue
ASVH371	ASVP371	dark blue
ASVH383	ASVP383	dark blue
ASVH397	ASVP397	dark blue
ASVH41	ASVP41	dark blue
ASVH44	ASVP44	dark blue
ASVH51	ASVP51	dark blue
ASVH55	ASVP55	dark blue
ASVH62	ASVP62	dark blue
ASVH620	ASVP620	dark blue
ASVH64	ASVP64	dark blue
ASVH65	ASVP65	dark blue
ASVH78	ASVP78	dark blue
ASVH79	ASVP79	dark blue
ASVH81	ASVP81	dark blue
ASVH88	ASVP88	dark blue
ASVH9	ASVP9	dark blue
ASVH95	ASVP95	dark blue
ASVH96	ASVP96	dark blue
ASVH98	ASVP98	dark blue
