Samp	Val
ASVP1	0.0035
ASVP10	0.0308
ASVP105	0.0077
ASVP107	0.0049
ASVP11	0.0556
ASVP115	0.0014
ASVP12	0.0434
ASVP123	0.0065
ASVP126	0.0149
ASVP13	0.0391
ASVP131	0.0148
ASVP14	0.0515
ASVP147	0.0022
ASVP149	0.0049
ASVP15	0.0139
ASVP158	0.0034
ASVP16	0.0241
ASVP176	0.0025
ASVP19	0.0259
ASVP194	0.0017
ASVP2	0.0034
ASVP20	0.0209
ASVP209	0.0049
ASVP210	8.00E-04
ASVP212	0.0019
ASVP22	0.0115
ASVP225	9.00E-04
ASVP234	0.0018
ASVP235	0.0026
ASVP238	2.00E-04
ASVP246	4.00E-04
ASVP25	0.0093
ASVP277	0.001
ASVP28	8.00E-04
ASVP290	0.0039
ASVP293	0.0017
ASVP3	0.0018
ASVP30	4.00E-04
ASVP304	2.00E-04
ASVP309	1.00E-04
ASVP310	0.0024
ASVP33	0.0128
ASVP334	1.00E-04
ASVP34	0.0172
ASVP35	0.0158
ASVP363	1.00E-04
ASVP371	1.00E-04
ASVP383	2.00E-04
ASVP397	0.0001
ASVP41	0.0191
ASVP44	0.0028
ASVP51	0.0083
ASVP55	0.0139
ASVP62	0.0267
ASVP620	1.00E-04
ASVP64	0.0032
ASVP65	0.0012
ASVP78	0.016
ASVP79	0.0315
ASVP81	0.0016
ASVP88	0.0092
ASVP9	0.0726
ASVP95	0.0079
ASVP96	3.00E-04
ASVP98	0.0025
