OTU	Donor	Mean	SD
ASV_1015	CHLD2	0.0461	0.0062
ASV_110	CHLD2	0.0023	0.0011
ASV_118	CHLD2	0.0195	0.0026
ASV_133	CHLD2	0.0042	6.00E-04
ASV_139	CHLD2	0.0023	0.0011
ASV_1749	CHLD2	0.0144	0.0017
ASV_1908	CHLD2	0.006	0.0015
ASV_2041	CHLD2	0.013	0.0018
ASV_2060	CHLD2	0.0025	6.00E-04
ASV_2161	CHLD2	8.00E-04	6.00E-04
ASV_227	CHLD2	0.0015	5.00E-04
ASV_2323	CHLD2	0.0018	6.00E-04
ASV_2377	CHLD2	0.0022	3.00E-04
ASV_2464	CHLD2	4.00E-04	1.00E-04
ASV_2641	CHLD2	0.0026	0.001
ASV_2654	CHLD2	0.0051	0.0015
ASV_2789	CHLD2	0.0113	0.0014
ASV_2881	CHLD2	0.0053	0.0011
ASV_2894	CHLD2	0.0289	0.0074
ASV_2973	CHLD2	0.0231	0.0023
ASV_3233	CHLD2	0.0309	0.0032
ASV_3236	CHLD2	0.0988	0.0101
ASV_3279	CHLD2	0.0633	0.0112
ASV_3350	CHLD2	0.0071	0.0015
ASV_3359	CHLD2	7.00E-04	4.00E-04
ASV_353	CHLD2	0.0167	0.0037
ASV_354	CHLD2	0.0054	0.0024
ASV_3543	CHLD2	0.0042	8.00E-04
ASV_3643	CHLD2	0.0037	7.00E-04
ASV_3671	CHLD2	4.00E-04	4.00E-04
ASV_3767	CHLD2	0.0191	0.0085
ASV_3772	CHLD2	0.0518	0.0216
ASV_3778	CHLD2	0.0098	0.0024
ASV_3975	CHLD2	0.0016	6.00E-04
ASV_4502	CHLD2	0.0022	1.00E-04
ASV_524	CHLD2	9.00E-04	7.00E-04
ASV_5251	CHLD2	0.0083	0.0012
ASV_5395	CHLD2	0.0069	0.0012
ASV_54	CHLD2	0.0073	0.0028
ASV_5462	CHLD2	0.0292	0.0046
ASV_5464	CHLD2	0.0039	2.00E-04
ASV_5470	CHLD2	0.0113	0.0014
ASV_5471	CHLD2	0.0071	9.00E-04
ASV_5475	CHLD2	0.016	0.0021
ASV_55	CHLD2	0.0037	0.001
ASV_5820	CHLD2	0.0324	0.0022
ASV_5835	CHLD2	0.0018	4.00E-04
ASV_5836	CHLD2	0.0034	3.00E-04
ASV_5883	CHLD2	6.00E-04	3.00E-04
ASV_5969	CHLD2	0.0024	5.00E-04
ASV_6003	CHLD2	0.0024	3.00E-04
ASV_6016	CHLD2	0.0072	0.0016
ASV_6057	CHLD2	0.0118	5.00E-04
ASV_6067	CHLD2	0.0581	0.0098
ASV_6071	CHLD2	0.0237	0.0038
ASV_6077	CHLD2	0.0181	0.0045
ASV_6242	CHLD2	0.0045	3.00E-04
ASV_6261	CHLD2	0.005	0.001
ASV_6265	CHLD2	0.006	0.001
ASV_6268	CHLD2	0.0085	0.0015
ASV_6272	CHLD2	0.0038	6.00E-04
ASV_6275	CHLD2	0.0034	1.00E-04
ASV_6276	CHLD2	0.0098	5.00E-04
ASV_6279	CHLD2	8.00E-04	2.00E-04
ASV_63	CHLD2	0.0042	4.00E-04
ASV_777	CHLD2	0.0172	0.0036
ASV_778	CHLD2	0.0137	0.0029
ASV_782	CHLD2	0.0277	0.0036
ASV_793	CHLD2	0.0016	7.00E-04
ASV_818	CHLD2	0.007	0.0023
ASV_875	CHLD2	0.0125	0.0026
ASV_876	CHLD2	0.0018	4.00E-04
ASV_877	CHLD2	0.025	0.0078
ASV_892	CHLD2	0.0058	6.00E-04
ASV_919	CHLD2	0.0456	0.0053
ASV_95	CHLD2	0.0017	4.00E-04
