OTU	Donor	Mean	SD
ASV_1015	CHLD2	0.0733	0.0373
ASV_110	CHLD2	0.0018	0.0063
ASV_118	CHLD2	0	0
ASV_133	CHLD2	0	0
ASV_139	CHLD2	0.002	0.002
ASV_1749	CHLD2	0.0241	0.0127
ASV_1908	CHLD2	2e-04	8e-04
ASV_2041	CHLD2	0	0
ASV_2060	CHLD2	0.0117	0.0059
ASV_2161	CHLD2	0.0135	0.0183
ASV_227	CHLD2	0	1e-04
ASV_2323	CHLD2	0.0011	0.001
ASV_2377	CHLD2	0	0
ASV_2464	CHLD2	0	0
ASV_2641	CHLD2	0	0
ASV_2654	CHLD2	0	0
ASV_2789	CHLD2	0	0
ASV_2881	CHLD2	0.0013	0.0055
ASV_2894	CHLD2	0	1e-04
ASV_2973	CHLD2	0.0118	0.0057
ASV_3233	CHLD2	0	0
ASV_3236	CHLD2	0	0
ASV_3279	CHLD2	4e-04	8e-04
ASV_3350	CHLD2	0	0
ASV_3359	CHLD2	0	0
ASV_353	CHLD2	0	0
ASV_354	CHLD2	0	0
ASV_3543	CHLD2	0.0012	0.0017
ASV_3643	CHLD2	3e-04	4e-04
ASV_3671	CHLD2	0	0
ASV_3767	CHLD2	0.0354	0.0341
ASV_3772	CHLD2	0.027	0.0516
ASV_3778	CHLD2	0	0
ASV_3975	CHLD2	9e-04	0.0012
ASV_4502	CHLD2	0	0
ASV_524	CHLD2	0.0027	0.0019
ASV_5251	CHLD2	0.0023	0.0018
ASV_5395	CHLD2	0.0934	0.0402
ASV_54	CHLD2	0	0
ASV_5462	CHLD2	0.0245	0.0175
ASV_5464	CHLD2	0.0201	0.0145
ASV_5470	CHLD2	0.0577	0.032
ASV_5471	CHLD2	0.0424	0.0227
ASV_5475	CHLD2	0.0506	0.0219
ASV_55	CHLD2	0	0
ASV_5820	CHLD2	0.0069	0.0169
ASV_5835	CHLD2	4e-04	0.0017
ASV_5836	CHLD2	0.0021	0.0105
ASV_5883	CHLD2	0	0
ASV_5969	CHLD2	0.0024	0.0013
ASV_6003	CHLD2	0.0843	0.105
ASV_6016	CHLD2	0	0
ASV_6057	CHLD2	0	0
ASV_6067	CHLD2	0.1242	0.1001
ASV_6071	CHLD2	0	0
ASV_6077	CHLD2	0	0
ASV_6242	CHLD2	0.0132	0.0102
ASV_6261	CHLD2	0	0
ASV_6265	CHLD2	0	0
ASV_6268	CHLD2	0	0
ASV_6272	CHLD2	0	0
ASV_6275	CHLD2	0	0
ASV_6276	CHLD2	0	0
ASV_6279	CHLD2	0.0122	0.0049
ASV_63	CHLD2	0	0
ASV_777	CHLD2	0	0
ASV_778	CHLD2	0	0
ASV_782	CHLD2	0	0
ASV_793	CHLD2	0	0
ASV_818	CHLD2	0	0
ASV_875	CHLD2	6e-04	0.0029
ASV_876	CHLD2	2e-04	0.0013
ASV_877	CHLD2	0.0012	0.0054
ASV_892	CHLD2	0	0
ASV_919	CHLD2	0	0
ASV_95	CHLD2	0	0
