OTU	Donor	Mean	SD
ASV_1015	CHLD2	0.0726	0.0263
ASV_110	CHLD2	0.0025	0.0035
ASV_118	CHLD2	0.001	0.0027
ASV_133	CHLD2	1e-04	2e-04
ASV_139	CHLD2	0.0049	0.0043
ASV_1749	CHLD2	0.0515	0.0322
ASV_1908	CHLD2	0.0241	0.0229
ASV_2041	CHLD2	0	0
ASV_2060	CHLD2	0.0158	0.018
ASV_2161	CHLD2	0.0018	0.0019
ASV_227	CHLD2	0.0128	0.0127
ASV_2323	CHLD2	0.016	0.009
ASV_2377	CHLD2	0.0039	0.0052
ASV_2464	CHLD2	0.0017	0.0023
ASV_2641	CHLD2	0.0032	0.0048
ASV_2654	CHLD2	0.0092	0.0065
ASV_2789	CHLD2	0.0019	0.004
ASV_2881	CHLD2	0.0191	0.0106
ASV_2894	CHLD2	2e-04	3e-04
ASV_2973	CHLD2	0.0172	0.0097
ASV_3233	CHLD2	0.0017	0.0029
ASV_3236	CHLD2	0.0079	0.0159
ASV_3279	CHLD2	0.0149	0.0174
ASV_3350	CHLD2	0.0315	0.0155
ASV_3359	CHLD2	1e-04	2e-04
ASV_353	CHLD2	0.0014	0.0018
ASV_354	CHLD2	0	0
ASV_3543	CHLD2	0.0025	0.0036
ASV_3643	CHLD2	0.0022	0.0016
ASV_3671	CHLD2	0	0
ASV_3767	CHLD2	0.0093	0.0193
ASV_3772	CHLD2	0.0115	0.0185
ASV_3778	CHLD2	0.0012	0.0043
ASV_3975	CHLD2	3e-04	6e-04
ASV_4502	CHLD2	0	0
ASV_524	CHLD2	0.0016	0.0037
ASV_5251	CHLD2	0.0139	0.0111
ASV_5395	CHLD2	0.0308	0.01
ASV_54	CHLD2	0.0018	0.0021
ASV_5462	CHLD2	0.0259	0.0215
ASV_5464	CHLD2	0.0209	0.0072
ASV_5470	CHLD2	0.0556	0.0247
ASV_5471	CHLD2	0.0391	0.017
ASV_5475	CHLD2	0.0139	0.0088
ASV_55	CHLD2	0.0034	0.003
ASV_5820	CHLD2	0.0434	0.0943
ASV_5835	CHLD2	2e-04	7e-04
ASV_5836	CHLD2	4e-04	7e-04
ASV_5883	CHLD2	0	0
ASV_5969	CHLD2	0.0083	0.0051
ASV_6003	CHLD2	0.0034	0.0089
ASV_6016	CHLD2	0	0
ASV_6057	CHLD2	8e-04	9e-04
ASV_6067	CHLD2	0.0035	0.0085
ASV_6071	CHLD2	0.0148	0.0152
ASV_6077	CHLD2	0.0267	0.021
ASV_6242	CHLD2	4e-04	0.001
ASV_6261	CHLD2	0	0
ASV_6265	CHLD2	2e-04	4e-04
ASV_6268	CHLD2	0.0026	0.004
ASV_6272	CHLD2	0	0
ASV_6275	CHLD2	0	0
ASV_6276	CHLD2	0	0
ASV_6279	CHLD2	0.0028	0.0029
ASV_63	CHLD2	0.0077	0.0071
ASV_777	CHLD2	1e-04	3e-04
ASV_778	CHLD2	1e-04	1e-04
ASV_782	CHLD2	0	0
ASV_793	CHLD2	0.0049	0.0051
ASV_818	CHLD2	0.0049	0.0065
ASV_875	CHLD2	1e-04	4e-04
ASV_876	CHLD2	0	1e-04
ASV_877	CHLD2	9e-04	0.0013
ASV_892	CHLD2	0.0065	0.0057
ASV_919	CHLD2	8e-04	0.0015
ASV_95	CHLD2	0.0024	0.0037
