Samp1	Samp2	Val1	Val2
ASVH1009	ASVM1009	0.006	0.0067
ASVH1011	ASVM1011	0.0406	0.0436
ASVH1015	ASVM1015	0.0038	0.007
ASVH1036	ASVM1036	0.0123	0.0097
ASVH1038	ASVM1038	0.0088	0.0068
ASVH118	ASVM118	0.0032	0
ASVH1749	ASVM1749	0.0392	0.0109
ASVH1908	ASVM1908	0.0038	0.0405
ASVH2060	ASVM2060	0.0026	0.0082
ASVH2323	ASVM2323	0.0022	0.0025
ASVH2378	ASVM2378	7.00E-04	0
ASVH2480	ASVM2480	0.0431	0.0083
ASVH2641	ASVM2641	0.0015	0.0017
ASVH2937	ASVM2937	0.0025	0.0044
ASVH302	ASVM302	0.0026	0
ASVH3023	ASVM3023	4.00E-04	0
ASVH3047	ASVM3047	7.00E-04	0
ASVH3060	ASVM3060	0.001	0
ASVH3118	ASVM3118	0.0098	0
ASVH3133	ASVM3133	0.0081	0
ASVH3193	ASVM3193	0.0015	0
ASVH3233	ASVM3233	0.0041	0
ASVH3236	ASVM3236	0.0659	0
ASVH3238	ASVM3238	0.0098	0
ASVH3239	ASVM3239	0.0069	0
ASVH3255	ASVM3255	0.0013	0.0162
ASVH3292	ASVM3292	0.0095	0
ASVH3350	ASVM3350	0.0026	0
ASVH3368	ASVM3368	7.00E-04	9.00E-04
ASVH3410	ASVM3410	0.0011	0.0375
ASVH3455	ASVM3455	0.0056	0
ASVH353	ASVM353	0.0068	0
ASVH3547	ASVM3547	8.00E-04	2.00E-04
ASVH3550	ASVM3550	0.0032	0.0013
ASVH3560	ASVM3560	5.00E-04	0
ASVH3585	ASVM3585	0.0026	0
ASVH3643	ASVM3643	0.0154	3.00E-04
ASVH3767	ASVM3767	0.0091	0.0123
ASVH3768	ASVM3768	0.0112	0.0013
ASVH3772	ASVM3772	0.0055	0.0019
ASVH3902	ASVM3902	0.017	0.0124
ASVH3905	ASVM3905	0.0014	0.0014
ASVH3926	ASVM3926	0.0015	2.00E-04
ASVH3942	ASVM3942	3.00E-04	7.00E-04
ASVH3951	ASVM3951	0.0054	1.00E-04
ASVH4508	ASVM4508	0.0011	0
ASVH4526	ASVM4526	0.001	0.0015
ASVH4613	ASVM4613	0.0143	1.00E-04
ASVH5251	ASVM5251	0.0231	0.0012
ASVH5254	ASVM5254	0.0024	6.00E-04
ASVH5256	ASVM5256	0.0022	2.00E-04
ASVH5260	ASVM5260	0.0017	0
ASVH5262	ASVM5262	0.0047	0
ASVH5265	ASVM5265	0.003	0
ASVH5294	ASVM5294	0.004	0
ASVH5314	ASVM5314	0.0022	0.0021
ASVH5335	ASVM5335	3.00E-04	0
ASVH5343	ASVM5343	0.0021	1.00E-04
ASVH5388	ASVM5388	0.002	0.0087
ASVH5392	ASVM5392	0.0117	0.0498
ASVH54	ASVM54	0.0041	0
ASVH5452	ASVM5452	0.0022	0.0152
ASVH5464	ASVM5464	0.0039	0.021
ASVH5465	ASVM5465	5.00E-04	0.0016
ASVH5505	ASVM5505	0.0246	0.0012
ASVH5559	ASVM5559	0.0174	0.0012
ASVH5820	ASVM5820	0.0033	0.0101
ASVH5882	ASVM5882	0.0044	0
ASVH5915	ASVM5915	0.0027	0
ASVH5949	ASVM5949	6.00E-04	0
ASVH6016	ASVM6016	0.0018	0
ASVH6047	ASVM6047	0.0031	0
ASVH6049	ASVM6049	0.0036	5.00E-04
ASVH6057	ASVM6057	0.0054	0
ASVH6067	ASVM6067	0.003	0.0017
ASVH6071	ASVM6071	0.0059	0
ASVH6076	ASVM6076	0.0025	0
ASVH6185	ASVM6185	0.0033	0.0045
ASVH6237	ASVM6237	0.0027	0
ASVH63	ASVM63	0.0055	0
ASVH74	ASVM74	0.0038	0
ASVH774	ASVM774	0.0013	0
ASVH793	ASVM793	0.0067	0.0018
ASVH805	ASVM805	0.0054	0
ASVH892	ASVM892	0.0036	0
ASVH919	ASVM919	0.0111	0
ASVH96	ASVM96	8.00E-04	2.00E-04
ASVH1009	ASVP1009	0.006	0.0015
ASVH1011	ASVP1011	0.0406	0.0148
ASVH1015	ASVP1015	0.0038	0.0012
ASVH1036	ASVP1036	0.0123	0.0037
ASVH1038	ASVP1038	0.0088	0.0029
ASVH118	ASVP118	0.0032	0.0026
ASVH1749	ASVP1749	0.0392	0.0125
ASVH1908	ASVP1908	0.0038	0.0016
ASVH2060	ASVP2060	0.0026	0.0033
ASVH2323	ASVP2323	0.0022	0.002
ASVH2378	ASVP2378	7.00E-04	2.00E-04
ASVH2480	ASVP2480	0.0431	0.0047
ASVH2641	ASVP2641	0.0015	0.031
ASVH2937	ASVP2937	0.0025	0.0013
ASVH302	ASVP302	0.0026	1.00E-04
ASVH3023	ASVP3023	4.00E-04	0.001
ASVH3047	ASVP3047	7.00E-04	0.0016
ASVH3060	ASVP3060	0.001	0.0013
ASVH3118	ASVP3118	0.0098	0.002
ASVH3133	ASVP3133	0.0081	0.0046
ASVH3193	ASVP3193	0.0015	1.00E-04
ASVH3233	ASVP3233	0.0041	0.0011
ASVH3236	ASVP3236	0.0659	0.0025
ASVH3238	ASVP3238	0.0098	0.0013
ASVH3239	ASVP3239	0.0069	1.00E-04
ASVH3255	ASVP3255	0.0013	0.0011
ASVH3292	ASVP3292	0.0095	0.003
ASVH3350	ASVP3350	0.0026	0.0084
ASVH3368	ASVP3368	7.00E-04	0.0018
ASVH3410	ASVP3410	0.0011	0.0936
ASVH3455	ASVP3455	0.0056	0.0028
ASVH353	ASVP353	0.0068	0.0076
ASVH3547	ASVP3547	8.00E-04	1.00E-04
ASVH3550	ASVP3550	0.0032	8.00E-04
ASVH3560	ASVP3560	5.00E-04	3.00E-04
ASVH3585	ASVP3585	0.0026	1.00E-04
ASVH3643	ASVP3643	0.0154	9.00E-04
ASVH3767	ASVP3767	0.0091	0.0186
ASVH3768	ASVP3768	0.0112	0.0288
ASVH3772	ASVP3772	0.0055	0.0086
ASVH3902	ASVP3902	0.017	0.0065
ASVH3905	ASVP3905	0.0014	0.0029
ASVH3926	ASVP3926	0.0015	2.00E-04
ASVH3942	ASVP3942	3.00E-04	6.00E-04
ASVH3951	ASVP3951	0.0054	0.0011
ASVH4508	ASVP4508	0.0011	1.00E-04
ASVH4526	ASVP4526	0.001	0
ASVH4613	ASVP4613	0.0143	0.0031
ASVH5251	ASVP5251	0.0231	0.0023
ASVH5254	ASVP5254	0.0024	0.0193
ASVH5256	ASVP5256	0.0022	0.0015
ASVH5260	ASVP5260	0.0017	6.00E-04
ASVH5262	ASVP5262	0.0047	5.00E-04
ASVH5265	ASVP5265	0.003	4.00E-04
ASVH5294	ASVP5294	0.004	2.00E-04
ASVH5314	ASVP5314	0.0022	0.0012
ASVH5335	ASVP5335	3.00E-04	2.00E-04
ASVH5343	ASVP5343	0.0021	4.00E-04
ASVH5388	ASVP5388	0.002	0.0014
ASVH5392	ASVP5392	0.0117	0.0087
ASVH54	ASVP54	0.0041	0.0015
ASVH5452	ASVP5452	0.0022	0.0045
ASVH5464	ASVP5464	0.0039	0.0047
ASVH5465	ASVP5465	5.00E-04	2.00E-04
ASVH5505	ASVP5505	0.0246	0.0122
ASVH5559	ASVP5559	0.0174	0.002
ASVH5820	ASVP5820	0.0033	0.1151
ASVH5882	ASVP5882	0.0044	0.0025
ASVH5915	ASVP5915	0.0027	0.0074
ASVH5949	ASVP5949	6.00E-04	7.00E-04
ASVH6016	ASVP6016	0.0018	0.0037
ASVH6047	ASVP6047	0.0031	5.00E-04
ASVH6049	ASVP6049	0.0036	9.00E-04
ASVH6057	ASVP6057	0.0054	0.0016
ASVH6067	ASVP6067	0.003	1.00E-04
ASVH6071	ASVP6071	0.0059	0.0014
ASVH6076	ASVP6076	0.0025	0.0031
ASVH6185	ASVP6185	0.0033	0.0016
ASVH6237	ASVP6237	0.0027	0.0032
ASVH63	ASVP63	0.0055	0.0015
ASVH74	ASVP74	0.0038	6.00E-04
ASVH774	ASVP774	0.0013	4.00E-04
ASVH793	ASVP793	0.0067	0.0014
ASVH805	ASVP805	0.0054	0.0082
ASVH892	ASVP892	0.0036	0.0021
ASVH919	ASVP919	0.0111	0.0014
ASVH96	ASVP96	8.00E-04	0
