Samp1	Samp2	Col
ASVH1	ASVM1	dark green
ASVH101	ASVM101	dark green
ASVH105	ASVM105	dark green
ASVH115	ASVM115	dark green
ASVH117	ASVM117	dark green
ASVH12	ASVM12	dark green
ASVH123	ASVM123	dark green
ASVH131	ASVM131	dark green
ASVH136	ASVM136	dark green
ASVH137	ASVM137	dark green
ASVH138	ASVM138	dark green
ASVH14	ASVM14	dark green
ASVH145	ASVM145	dark green
ASVH147	ASVM147	dark green
ASVH149	ASVM149	dark green
ASVH158	ASVM158	dark green
ASVH16	ASVM16	dark green
ASVH164	ASVM164	dark green
ASVH171	ASVM171	dark green
ASVH175	ASVM175	dark green
ASVH178	ASVM178	dark green
ASVH181	ASVM181	dark green
ASVH186	ASVM186	dark green
ASVH187	ASVM187	dark green
ASVH193	ASVM193	dark green
ASVH194	ASVM194	dark green
ASVH197	ASVM197	dark green
ASVH20	ASVM20	dark green
ASVH202	ASVM202	dark green
ASVH210	ASVM210	dark green
ASVH22	ASVM22	dark green
ASVH223	ASVM223	dark green
ASVH234	ASVM234	dark green
ASVH25	ASVM25	dark green
ASVH253	ASVM253	dark green
ASVH26	ASVM26	dark green
ASVH265	ASVM265	dark green
ASVH266	ASVM266	dark green
ASVH274	ASVM274	dark green
ASVH277	ASVM277	dark green
ASVH28	ASVM28	dark green
ASVH281	ASVM281	dark green
ASVH282	ASVM282	dark green
ASVH286	ASVM286	dark green
ASVH290	ASVM290	dark green
ASVH292	ASVM292	dark green
ASVH313	ASVM313	dark green
ASVH314	ASVM314	dark green
ASVH335	ASVM335	dark green
ASVH339	ASVM339	dark green
ASVH347	ASVM347	dark green
ASVH35	ASVM35	dark green
ASVH357	ASVM357	dark green
ASVH36	ASVM36	dark green
ASVH362	ASVM362	dark green
ASVH368	ASVM368	dark green
ASVH38	ASVM38	dark green
ASVH381	ASVM381	dark green
ASVH39	ASVM39	dark green
ASVH391	ASVM391	dark green
ASVH4	ASVM4	dark green
ASVH40	ASVM40	dark green
ASVH415	ASVM415	dark green
ASVH42	ASVM42	dark green
ASVH424	ASVM424	dark green
ASVH448	ASVM448	dark green
ASVH456	ASVM456	dark green
ASVH48	ASVM48	dark green
ASVH498	ASVM498	dark green
ASVH5	ASVM5	dark green
ASVH50	ASVM50	dark green
ASVH512	ASVM512	dark green
ASVH54	ASVM54	dark green
ASVH55	ASVM55	dark green
ASVH57	ASVM57	dark green
ASVH574	ASVM574	dark green
ASVH6	ASVM6	dark green
ASVH604	ASVM604	dark green
ASVH61	ASVM61	dark green
ASVH64	ASVM64	dark green
ASVH645	ASVM645	dark green
ASVH671	ASVM671	dark green
ASVH680	ASVM680	dark green
ASVH69	ASVM69	dark green
ASVH706	ASVM706	dark green
ASVH74	ASVM74	dark green
ASVH76	ASVM76	dark green
ASVH77	ASVM77	dark green
ASVH78	ASVM78	dark green
ASVH79	ASVM79	dark green
ASVH833	ASVM833	dark green
ASVH86	ASVM86	dark green
ASVH87	ASVM87	dark green
ASVH9	ASVM9	dark green
ASVH92	ASVM92	dark green
ASVH95	ASVM95	dark green
ASVH1	ASVP1	dark blue
ASVH101	ASVP101	dark blue
ASVH105	ASVP105	dark blue
ASVH115	ASVP115	dark blue
ASVH117	ASVP117	dark blue
ASVH12	ASVP12	dark blue
ASVH123	ASVP123	dark blue
ASVH131	ASVP131	dark blue
ASVH136	ASVP136	dark blue
ASVH137	ASVP137	dark blue
ASVH138	ASVP138	dark blue
ASVH14	ASVP14	dark blue
ASVH145	ASVP145	dark blue
ASVH147	ASVP147	dark blue
ASVH149	ASVP149	dark blue
ASVH158	ASVP158	dark blue
ASVH16	ASVP16	dark blue
ASVH164	ASVP164	dark blue
ASVH171	ASVP171	dark blue
ASVH175	ASVP175	dark blue
ASVH178	ASVP178	dark blue
ASVH181	ASVP181	dark blue
ASVH186	ASVP186	dark blue
ASVH187	ASVP187	dark blue
ASVH193	ASVP193	dark blue
ASVH194	ASVP194	dark blue
ASVH197	ASVP197	dark blue
ASVH20	ASVP20	dark blue
ASVH202	ASVP202	dark blue
ASVH210	ASVP210	dark blue
ASVH22	ASVP22	dark blue
ASVH223	ASVP223	dark blue
ASVH234	ASVP234	dark blue
ASVH25	ASVP25	dark blue
ASVH253	ASVP253	dark blue
ASVH26	ASVP26	dark blue
ASVH265	ASVP265	dark blue
ASVH266	ASVP266	dark blue
ASVH274	ASVP274	dark blue
ASVH277	ASVP277	dark blue
ASVH28	ASVP28	dark blue
ASVH281	ASVP281	dark blue
ASVH282	ASVP282	dark blue
ASVH286	ASVP286	dark blue
ASVH290	ASVP290	dark blue
ASVH292	ASVP292	dark blue
ASVH313	ASVP313	dark blue
ASVH314	ASVP314	dark blue
ASVH335	ASVP335	dark blue
ASVH339	ASVP339	dark blue
ASVH347	ASVP347	dark blue
ASVH35	ASVP35	dark blue
ASVH357	ASVP357	dark blue
ASVH36	ASVP36	dark blue
ASVH362	ASVP362	dark blue
ASVH368	ASVP368	dark blue
ASVH38	ASVP38	dark blue
ASVH381	ASVP381	dark blue
ASVH39	ASVP39	dark blue
ASVH391	ASVP391	dark blue
ASVH4	ASVP4	dark blue
ASVH40	ASVP40	dark blue
ASVH415	ASVP415	dark blue
ASVH42	ASVP42	dark blue
ASVH424	ASVP424	dark blue
ASVH448	ASVP448	dark blue
ASVH456	ASVP456	dark blue
ASVH48	ASVP48	dark blue
ASVH498	ASVP498	dark blue
ASVH5	ASVP5	dark blue
ASVH50	ASVP50	dark blue
ASVH512	ASVP512	dark blue
ASVH54	ASVP54	dark blue
ASVH55	ASVP55	dark blue
ASVH57	ASVP57	dark blue
ASVH574	ASVP574	dark blue
ASVH6	ASVP6	dark blue
ASVH604	ASVP604	dark blue
ASVH61	ASVP61	dark blue
ASVH64	ASVP64	dark blue
ASVH645	ASVP645	dark blue
ASVH671	ASVP671	dark blue
ASVH680	ASVP680	dark blue
ASVH69	ASVP69	dark blue
ASVH706	ASVP706	dark blue
ASVH74	ASVP74	dark blue
ASVH76	ASVP76	dark blue
ASVH77	ASVP77	dark blue
ASVH78	ASVP78	dark blue
ASVH79	ASVP79	dark blue
ASVH833	ASVP833	dark blue
ASVH86	ASVP86	dark blue
ASVH87	ASVP87	dark blue
ASVH9	ASVP9	dark blue
ASVH92	ASVP92	dark blue
ASVH95	ASVP95	dark blue
