Samp	Val
ASVM1	0.0017
ASVM101	0.0013
ASVM117	0.0067
ASVM12	0.0101
ASVM137	0.0021
ASVM138	0.0012
ASVM14	0.0109
ASVM147	3.00E-04
ASVM149	0.0018
ASVM16	0.0405
ASVM164	0.0016
ASVM181	0.0001
ASVM186	0.0015
ASVM187	2.00E-04
ASVM193	0.0013
ASVM20	0.021
ASVM202	1.00E-04
ASVM22	0.0019
ASVM223	1.00E-04
ASVM25	0.0123
ASVM253	2.00E-04
ASVM26	0.0498
ASVM265	0.0014
ASVM281	2.00E-04
ASVM286	0.00001
ASVM292	2.00E-04
ASVM314	5.00E-04
ASVM35	0.0082
ASVM357	0.00001
ASVM36	1.00E-04
ASVM368	0.0001
ASVM38	0.0162
ASVM39	0.0087
ASVM4	0.0436
ASVM42	0.0124
ASVM48	0.0068
ASVM5	0.0152
ASVM50	0.0012
ASVM512	0.0001
ASVM54	6.00E-04
ASVM55	0.0012
ASVM57	0.0097
ASVM6	0.0375
ASVM61	0.00001
ASVM64	0.0017
ASVM671	0.0001
ASVM69	0.0083
ASVM706	0.0001
ASVM74	0.0045
ASVM78	0.0025
ASVM86	9.00E-04
ASVM87	0.0044
ASVM9	0.007
ASVM92	7.00E-04
ASVM95	0.00001
