OTU	Donor	Mean	SD
ASV_1009	ELD2	0.006	2.00E-04
ASV_1011	ELD2	0.0406	0.004
ASV_1015	ELD2	0.0038	0.0012
ASV_1036	ELD2	0.0123	0.0021
ASV_1038	ELD2	0.0088	0.0018
ASV_118	ELD2	0.0032	0.0013
ASV_134	ELD2	0.0012	2.00E-04
ASV_1749	ELD2	0.0392	0.0112
ASV_1908	ELD2	0.0038	0.0012
ASV_2	ELD2	0.0047	0.0011
ASV_2041	ELD2	0.0011	3.00E-04
ASV_2060	ELD2	0.0026	6.00E-04
ASV_2303	ELD2	0.0155	0.0011
ASV_2317	ELD2	0.0011	3.00E-04
ASV_2323	ELD2	0.0022	3.00E-04
ASV_2329	ELD2	0.0094	0.0011
ASV_2356	ELD2	0.0089	0.0014
ASV_2377	ELD2	6.00E-04	0
ASV_2378	ELD2	7.00E-04	3.00E-04
ASV_2480	ELD2	0.0431	0.0102
ASV_2641	ELD2	0.0015	2.00E-04
ASV_2789	ELD2	0.0047	0.0022
ASV_2872	ELD2	0.002	4.00E-04
ASV_2937	ELD2	0.0025	0.001
ASV_302	ELD2	0.0026	3.00E-04
ASV_3023	ELD2	4.00E-04	2.00E-04
ASV_3030	ELD2	6.00E-04	5.00E-04
ASV_3047	ELD2	7.00E-04	4.00E-04
ASV_3060	ELD2	0.001	3.00E-04
ASV_3063	ELD2	0.005	0.0014
ASV_3065	ELD2	0.0073	0.0022
ASV_3118	ELD2	0.0098	0.0022
ASV_3133	ELD2	0.0081	0.0016
ASV_3193	ELD2	0.0015	4.00E-04
ASV_3194	ELD2	9.00E-04	4.00E-04
ASV_3233	ELD2	0.0041	0.0012
ASV_3236	ELD2	0.0659	0.0122
ASV_3238	ELD2	0.0098	0.0019
ASV_3239	ELD2	0.0069	7.00E-04
ASV_3255	ELD2	0.0013	1.00E-04
ASV_3279	ELD2	0.0112	0.0012
ASV_3292	ELD2	0.0095	8.00E-04
ASV_3312	ELD2	0.0011	5.00E-04
ASV_3350	ELD2	0.0026	4.00E-04
ASV_3359	ELD2	0.001	5.00E-04
ASV_3368	ELD2	7.00E-04	3.00E-04
ASV_3410	ELD2	0.0011	4.00E-04
ASV_3455	ELD2	0.0056	2.00E-04
ASV_353	ELD2	0.0068	0.0011
ASV_3541	ELD2	7.00E-04	3.00E-04
ASV_3547	ELD2	8.00E-04	3.00E-04
ASV_3550	ELD2	0.0032	5.00E-04
ASV_3560	ELD2	5.00E-04	2.00E-04
ASV_3578	ELD2	0.0148	0.0043
ASV_3585	ELD2	0.0026	0.0011
ASV_3643	ELD2	0.0154	0.0045
ASV_365	ELD2	4.00E-04	1.00E-04
ASV_3693	ELD2	5.00E-04	2.00E-04
ASV_3767	ELD2	0.0091	0.0037
ASV_3768	ELD2	0.0112	0.0038
ASV_3772	ELD2	0.0055	0.0022
ASV_3902	ELD2	0.017	0.0135
ASV_3905	ELD2	0.0014	8.00E-04
ASV_3926	ELD2	0.0015	4.00E-04
ASV_3937	ELD2	0.0022	6.00E-04
ASV_3942	ELD2	3.00E-04	2.00E-04
ASV_3951	ELD2	0.0054	0.0013
ASV_4508	ELD2	0.0011	3.00E-04
ASV_4526	ELD2	0.001	2.00E-04
ASV_4613	ELD2	0.0143	0.0024
ASV_4820	ELD2	0.1919	0.0596
ASV_4823	ELD2	0.0158	0.0062
ASV_5251	ELD2	0.0231	0.0035
ASV_5254	ELD2	0.0024	0.0012
ASV_5256	ELD2	0.0022	4.00E-04
ASV_5260	ELD2	0.0017	7.00E-04
ASV_5262	ELD2	0.0047	6.00E-04
ASV_5265	ELD2	0.003	2.00E-04
ASV_5294	ELD2	0.004	9.00E-04
ASV_5314	ELD2	0.0022	5.00E-04
ASV_5335	ELD2	3.00E-04	1.00E-04
ASV_5343	ELD2	0.0021	5.00E-04
ASV_5388	ELD2	0.002	5.00E-04
ASV_5392	ELD2	0.0117	0.0022
ASV_54	ELD2	0.0041	6.00E-04
ASV_5452	ELD2	0.0022	0.001
ASV_5464	ELD2	0.0039	7.00E-04
ASV_5465	ELD2	5.00E-04	2.00E-04
ASV_55	ELD2	0.0043	8.00E-04
ASV_5505	ELD2	0.0246	0.0038
ASV_5559	ELD2	0.0174	0.0059
ASV_5820	ELD2	0.0033	9.00E-04
ASV_5882	ELD2	0.0044	8.00E-04
ASV_5884	ELD2	0.0013	8.00E-04
ASV_5915	ELD2	0.0027	0.001
ASV_5921	ELD2	0.001	4.00E-04
ASV_5949	ELD2	6.00E-04	0
ASV_5953	ELD2	0.002	5.00E-04
ASV_5966	ELD2	4.00E-04	1.00E-04
ASV_5967	ELD2	5.00E-04	2.00E-04
ASV_6016	ELD2	0.0018	0.0011
ASV_6047	ELD2	0.0031	0.0016
ASV_6049	ELD2	0.0036	0.001
ASV_6057	ELD2	0.0054	0.0011
ASV_6067	ELD2	0.003	0.0013
ASV_6071	ELD2	0.0059	0.0019
ASV_6076	ELD2	0.0025	8.00E-04
ASV_6079	ELD2	0.0017	3.00E-04
ASV_6090	ELD2	0.0065	0.0022
ASV_6185	ELD2	0.0033	0.0011
ASV_6237	ELD2	0.0027	6.00E-04
ASV_6253	ELD2	0.0012	5.00E-04
ASV_6265	ELD2	0.0039	8.00E-04
ASV_6266	ELD2	0.0011	2.00E-04
ASV_6268	ELD2	0.0043	5.00E-04
ASV_6269	ELD2	9.00E-04	5.00E-04
ASV_6270	ELD2	8.00E-04	1.00E-04
ASV_6272	ELD2	0.0023	8.00E-04
ASV_6276	ELD2	0.0073	0.0014
ASV_63	ELD2	0.0055	0.0011
