Samp1	Samp2	Val1	Val2
ASVH100	ASVM100	9.00E-04	0.0109
ASVH113	ASVM113	0.0042	0.0033
ASVH134	ASVM134	0.0025	0.002
ASVH135	ASVM135	0.047	0.0026
ASVH142	ASVM142	0.0455	0.0024
ASVH17	ASVM17	0.0206	0.0355
ASVH2	ASVM2	0.1308	0.1511
ASVH220	ASVM220	0.0168	0.0047
ASVH24	ASVM24	0.0873	0.016
ASVH3	ASVM3	0.317	0.1365
ASVH4	ASVM4	0.0995	0.1663
ASVH45	ASVM45	0.0162	0.0271
ASVH5	ASVM5	0.0648	0.1622
ASVH51	ASVM51	0.0032	0
ASVH59	ASVM59	0.0064	0.02
ASVH65	ASVM65	0.045	0.0081
ASVH67	ASVM67	0.0042	0.0159
ASVH71	ASVM71	0.0039	0.0154
ASVH77	ASVM77	6.00E-04	0.0024
ASVH86	ASVM86	8.00E-04	0.0023
ASVH94	ASVM94	0.04	0.0033
ASVH96	ASVM96	0.0069	0.0048
ASVH100	ASVP100	9.00E-04	0.0021
ASVH113	ASVP113	0.0042	0
ASVH134	ASVP134	0.0025	0
ASVH135	ASVP135	0.047	0.0062
ASVH142	ASVP142	0.0455	0.0054
ASVH17	ASVP17	0.0206	0.0114
ASVH2	ASVP2	0.1308	0.0195
ASVH220	ASVP220	0.0168	3.00E-04
ASVH24	ASVP24	0.0873	0.0725
ASVH3	ASVP3	0.317	0.0159
ASVH4	ASVP4	0.0995	0.0309
ASVH45	ASVP45	0.0162	0.0047
ASVH5	ASVP5	0.0648	0.0618
ASVH51	ASVP51	0.0032	0.0153
ASVH59	ASVP59	0.0064	0.0052
ASVH65	ASVP65	0.045	0.0084
ASVH67	ASVP67	0.0042	0.004
ASVH71	ASVP71	0.0039	0.0038
ASVH77	ASVP77	6.00E-04	0.0166
ASVH86	ASVP86	8.00E-04	0.0015
ASVH94	ASVP94	0.04	0.0135
ASVH96	ASVP96	0.0069	5.00E-04
