Samp	Col
ASVH100	red
ASVH113	red
ASVH134	red
ASVH135	red
ASVH142	red
ASVH17	red
ASVH2	red
ASVH220	red
ASVH24	red
ASVH3	red
ASVH4	red
ASVH45	red
ASVH5	red
ASVH51	red
ASVH59	red
ASVH65	red
ASVH67	red
ASVH71	red
ASVH77	red
ASVH86	red
ASVH94	red
ASVH96	red
ASVM100	dark green
ASVM113	dark green
ASVM134	dark green
ASVM135	dark green
ASVM142	dark green
ASVM17	dark green
ASVM2	dark green
ASVM220	dark green
ASVM24	dark green
ASVM3	dark green
ASVM4	dark green
ASVM45	dark green
ASVM5	dark green
ASVM51	dark green
ASVM59	dark green
ASVM65	dark green
ASVM67	dark green
ASVM71	dark green
ASVM77	dark green
ASVM86	dark green
ASVM94	dark green
ASVM96	dark green
ASVP100	dark blue
ASVP113	dark blue
ASVP134	dark blue
ASVP135	dark blue
ASVP142	dark blue
ASVP17	dark blue
ASVP2	dark blue
ASVP220	dark blue
ASVP24	dark blue
ASVP3	dark blue
ASVP4	dark blue
ASVP45	dark blue
ASVP5	dark blue
ASVP51	dark blue
ASVP59	dark blue
ASVP65	dark blue
ASVP67	dark blue
ASVP71	dark blue
ASVP77	dark blue
ASVP86	dark blue
ASVP94	dark blue
ASVP96	dark blue
