Samp1	Samp2	Col
ASVH1011	ASVM1011	dark green
ASVH1014	ASVM1014	dark green
ASVH1976	ASVM1976	dark green
ASVH1977	ASVM1977	dark green
ASVH2161	ASVM2161	dark green
ASVH2167	ASVM2167	dark green
ASVH264	ASVM264	dark green
ASVH265	ASVM265	dark green
ASVH267	ASVM267	dark green
ASVH268	ASVM268	dark green
ASVH2848	ASVM2848	dark green
ASVH3368	ASVM3368	dark green
ASVH3778	ASVM3778	dark green
ASVH3975	ASVM3975	dark green
ASVH4508	ASVM4508	dark green
ASVH5452	ASVM5452	dark green
ASVH5969	ASVM5969	dark green
ASVH5998	ASVM5998	dark green
ASVH5999	ASVM5999	dark green
ASVH6000	ASVM6000	dark green
ASVH6003	ASVM6003	dark green
ASVH6008	ASVM6008	dark green
ASVH1011	ASVP1011	dark blue
ASVH1014	ASVP1014	dark blue
ASVH1976	ASVP1976	dark blue
ASVH1977	ASVP1977	dark blue
ASVH2161	ASVP2161	dark blue
ASVH2167	ASVP2167	dark blue
ASVH264	ASVP264	dark blue
ASVH265	ASVP265	dark blue
ASVH267	ASVP267	dark blue
ASVH268	ASVP268	dark blue
ASVH2848	ASVP2848	dark blue
ASVH3368	ASVP3368	dark blue
ASVH3778	ASVP3778	dark blue
ASVH3975	ASVP3975	dark blue
ASVH4508	ASVP4508	dark blue
ASVH5452	ASVP5452	dark blue
ASVH5969	ASVP5969	dark blue
ASVH5998	ASVP5998	dark blue
ASVH5999	ASVP5999	dark blue
ASVH6000	ASVP6000	dark blue
ASVH6003	ASVP6003	dark blue
ASVH6008	ASVP6008	dark blue
