OTU	Donor	Mean	SD
ASV_1011	INF2	0.0995	0.0023
ASV_1014	INF2	0.0162	0.001
ASV_1976	INF2	0.0873	0.0101
ASV_1977	INF2	0.04	0.0067
ASV_2161	INF2	0.317	0.0408
ASV_2167	INF2	0.0168	0.0068
ASV_264	INF2	0.0042	0.0018
ASV_265	INF2	0.0064	4e-04
ASV_267	INF2	0.0206	0.0017
ASV_268	INF2	0.0039	0.0012
ASV_2848	INF2	9e-04	5e-04
ASV_3368	INF2	8e-04	5e-04
ASV_350	INF2	0.0115	0.0036
ASV_353	INF2	0.0094	0.0011
ASV_354	INF2	0.0024	4e-04
ASV_3778	INF2	0.045	0.0347
ASV_3799	INF2	0.0013	6e-04
ASV_3975	INF2	0.0069	0.0032
ASV_4508	INF2	6e-04	2e-04
ASV_5452	INF2	0.0648	0.0053
ASV_5969	INF2	0.0032	2e-04
ASV_5998	INF2	0.047	0.0085
ASV_5999	INF2	0.0042	0.0015
ASV_6000	INF2	0.0025	2e-04
ASV_6003	INF2	0.1308	0.0178
ASV_6008	INF2	0.0455	0.0043
