OTU	Donor	Mean	SD
ASV_1011	INF2	0.1663	0.1047
ASV_1014	INF2	0.0271	0.0175
ASV_1976	INF2	0.016	0.0353
ASV_1977	INF2	0.0033	0.0048
ASV_2161	INF2	0.1365	0.0466
ASV_2167	INF2	0.0047	0.0065
ASV_264	INF2	0.0159	0.0081
ASV_265	INF2	0.02	0.0103
ASV_267	INF2	0.0355	0.0175
ASV_268	INF2	0.0154	0.0077
ASV_2848	INF2	0.0109	0.0192
ASV_3368	INF2	0.0023	0.001
ASV_350	INF2	0	0
ASV_353	INF2	0	0
ASV_354	INF2	0	0
ASV_3778	INF2	0.0081	0.0071
ASV_3799	INF2	0	0
ASV_3975	INF2	0.0048	0.0027
ASV_4508	INF2	0.0024	0.0033
ASV_5452	INF2	0.1622	0.086
ASV_5969	INF2	0	0
ASV_5998	INF2	0.0026	0.011
ASV_5999	INF2	0.0033	0.0028
ASV_6000	INF2	0.002	0.0023
ASV_6003	INF2	0.1511	0.0752
ASV_6008	INF2	0.0024	0.0103
