OTU	Donor	Mean	SD
ASV_1011	INF2	0.0309	0.0346
ASV_1014	INF2	0.0047	0.0061
ASV_1976	INF2	0.0725	0.0513
ASV_1977	INF2	0.0135	0.0198
ASV_2161	INF2	0.0159	0.0238
ASV_2167	INF2	3e-04	0.0014
ASV_264	INF2	0.004	0.0047
ASV_265	INF2	0.0052	0.0055
ASV_267	INF2	0.0114	0.0088
ASV_268	INF2	0.0038	0.0044
ASV_2848	INF2	0.0021	0.0049
ASV_3368	INF2	0.0015	0.0012
ASV_350	INF2	0	0
ASV_353	INF2	0	0
ASV_354	INF2	0	0
ASV_3778	INF2	0.0084	0.0117
ASV_3799	INF2	0	0
ASV_3975	INF2	5e-04	6e-04
ASV_4508	INF2	0.0166	0.0127
ASV_5452	INF2	0.0618	0.0503
ASV_5969	INF2	0.0153	0.0095
ASV_5998	INF2	0.0062	0.0123
ASV_5999	INF2	0	0
ASV_6000	INF2	0	0
ASV_6003	INF2	0.0195	0.0337
ASV_6008	INF2	0.0054	0.011
