SampleID	Donor	Species	Bubble	Animal	Diet	Sample_or_Control	Batch	Description
1	infant	human	NA	NA	NA	true_sample	run1	inoculum for pigs
109	child	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
121	adult	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
13	child	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
133	elderly	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
145	infant	human	NA	NA	NA	true_sample	run1	inoculum for mice
157	child	human	NA	NA	NA	true_sample	run1	inoculum for mice
169	adult	human	NA	NA	NA	true_sample	run1	inoculum for mice
181	elderly	human	NA	NA	NA	true_sample	run1	inoculum for mice
193	infant	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
25	adult	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
37	elderly	human	NA	NA	NA	true_sample	run1	unused inoculum for mice
49	infant	human	NA	NA	NA	true_sample	run1	inoculum for mice
61	child	human	NA	NA	NA	true_sample	run1	inoculum for mice
73	adult	human	NA	NA	NA	true_sample	run1	inoculum for mice
85	elderly	human	NA	NA	NA	true_sample	run1	inoculum for mice
97	infant	human	NA	NA	NA	true_sample	run1	inoculum for pigs
10	infant	mouse	I29	A17	solid	true_sample	run1	2_days_post_inoculation
102	adult	mouse	I34	A22	solid	true_sample	run1	2_days_post_inoculation
103	adult	mouse	I34	A30	solid	true_sample	run1	2_days_post_inoculation
104	child	mouse	I33	A38	solid	true_sample	run1	2_days_post_inoculation
105	elderly	mouse	I47	B8	solid	true_sample	run1	7_days_post_inoculation
106	adult	mouse	I34	B21	solid	true_sample	run1	7_days_post_inoculation
107	adult	mouse	I34	B29	solid	true_sample	run1	7_days_post_inoculation
108	child	mouse	I33	B37	solid	true_sample	run1	7_days_post_inoculation
11	infant	mouse	I29	C12	solid	true_sample	run1	14_days_post_inoculation
114	adult	mouse	I34	A23	solid	true_sample	run1	2_days_post_inoculation
115	child	mouse	I33	A31	solid	true_sample	run1	2_days_post_inoculation
116	child	mouse	I33	A39	solid	true_sample	run1	2_days_post_inoculation
117	elderly	mouse	I47	B9	solid	true_sample	run1	7_days_post_inoculation
118	adult	mouse	I34	B22	solid	true_sample	run1	7_days_post_inoculation
119	adult	mouse	I34	B30	solid	true_sample	run1	7_days_post_inoculation
12	elderly	mouse	I47	A5	solid	true_sample	run1	2_days_post_inoculation
120	child	mouse	I33	B39	solid	true_sample	run1	7_days_post_inoculation
125	infant	mouse	I29	A13	solid	true_sample	run1	2_days_post_inoculation
126	adult	mouse	I34	A24	solid	true_sample	run1	2_days_post_inoculation
127	child	mouse	I33	A32	solid	true_sample	run1	2_days_post_inoculation
128	child	mouse	I33	A40	solid	true_sample	run1	2_days_post_inoculation
129	elderly	mouse	I47	B10	solid	true_sample	run1	7_days_post_inoculation
130	adult	mouse	I34	B23	solid	true_sample	run1	7_days_post_inoculation
131	child	mouse	I33	B31	solid	true_sample	run1	7_days_post_inoculation
132	child	mouse	I33	B39	solid	true_sample	run1	7_days_post_inoculation
137	infant	mouse	I29	A14	solid	true_sample	run1	2_days_post_inoculation
138	adult	mouse	I34	A25	solid	true_sample	run1	2_days_post_inoculation
139	child	mouse	I33	A33	solid	true_sample	run1	2_days_post_inoculation
