SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Time_point	Description
146	ADLT2	mouse	28	B21	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
147	ADLT2	mouse	28	B22	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
148	ADLT2	mouse	28	B23	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
149	ADLT2	mouse	28	B24	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
150	ADLT2	mouse	28	B25	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
157	ADLT2	mouse	28	B26	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
158	ADLT2	mouse	28	B27	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
159	ADLT2	mouse	28	B28	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
160	ADLT2	mouse	28	B29	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
161	ADLT2	mouse	28	B30	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
118	ADLT2	piglet	1of7	1A	18-Mar-18	female	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
119	ADLT2	piglet	1of7	1B	18-Mar-18	female	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
120	ADLT2	piglet	1of7	1C	18-Mar-18	male	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
531	ADLT2	mouse	28	21	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
532	ADLT2	mouse	28	22	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
533	ADLT2	mouse	28	23	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
534	ADLT2	mouse	28	24	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
541	ADLT2	mouse	28	25	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
542	ADLT2	mouse	28	26	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
543	ADLT2	mouse	28	27	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
544	ADLT2	mouse	28	28	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
545	ADLT2	mouse	28	29	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
546	ADLT2	mouse	28	30	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
221	ADLT2	mouse	28	C21	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
222	ADLT2	mouse	28	C22	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
229	ADLT2	mouse	28	C23	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
230	ADLT2	mouse	28	C24	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
231	ADLT2	mouse	28	C25	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
232	ADLT2	mouse	28	C26	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
233	ADLT2	mouse	28	C27	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
