SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Time_point	Description
125	CHLD2	mouse	27	B11	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
126	CHLD2	mouse	27	B13	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
133	CHLD2	mouse	27	B14	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
134	CHLD2	mouse	27	B15	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
135	CHLD2	mouse	27	B16	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
136	CHLD2	mouse	27	B17	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
137	CHLD2	mouse	27	B18	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
138	CHLD2	mouse	27	B19	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
145	CHLD2	mouse	27	B20	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
184	CHLD2	mouse	27	B12	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
127	CHLD2	piglet	4of7	4A	17-Mar-18	male	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
128	CHLD2	piglet	4of7	4B	17-Mar-18	male	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
129	CHLD2	piglet	4of7	4C	17-Mar-18	female	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
466	CHLD2	mouse	27	11	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
467	CHLD2	mouse	27	12	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
468	CHLD2	mouse	27	13	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
475	CHLD2	mouse	27	14	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
476	CHLD2	mouse	27	15	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
477	CHLD2	mouse	27	16	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
478	CHLD2	mouse	27	17	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
479	CHLD2	mouse	27	18	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
529	CHLD2	mouse	27	19	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
530	CHLD2	mouse	27	20	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
205	CHLD2	mouse	27	C11	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
206	CHLD2	mouse	27	C12	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
207	CHLD2	mouse	27	C13	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
208	CHLD2	mouse	27	C14	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
209	CHLD2	mouse	27	C15	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
210	CHLD2	mouse	27	C16	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
217	CHLD2	mouse	27	C17	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
218	CHLD2	mouse	27	C18	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
219	CHLD2	mouse	27	C19	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
220	CHLD2	mouse	27	C20	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
163	CHLD2	piglet	4of7	4A	24-Mar-18	male	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
164	CHLD2	piglet	4of7	4B	24-Mar-18	male	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
165	CHLD2	piglet	4of7	4C	24-Mar-18	female	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
340	CHLD2	mouse	27	D16	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
341	CHLD2	mouse	27	D17	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
342	CHLD2	mouse	27	D18	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
349	CHLD2	mouse	27	D19	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
350	CHLD2	mouse	27	D20	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
278	CHLD2	mouse	27	D11	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
279	CHLD2	mouse	27	D12	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
280	CHLD2	mouse	27	D13	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
281	CHLD2	mouse	27	D14	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
282	CHLD2	mouse	27	D15	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
203	CHLD2	piglet	4of7	4A	31-Mar-18	male	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
204	CHLD2	piglet	4of7	4B	31-Mar-18	male	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
211	CHLD2	piglet	4of7	4C	31-Mar-18	female	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
51	CHLD2	mouse	27	A11	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
52	CHLD2	mouse	27	A12	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
53	CHLD2	mouse	27	A13	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
54	CHLD2	mouse	27	A14	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
61	CHLD2	mouse	27	A15	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
62	CHLD2	mouse	27	A16	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
63	CHLD2	mouse	27	A17	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
64	CHLD2	mouse	27	A18	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
65	CHLD2	mouse	27	A19	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
66	CHLD2	mouse	27	A20	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
106	CHLD2	piglet	4of7	4A	12-Mar-18	male	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
107	CHLD2	piglet	4of7	4B	12-Mar-18	male	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
108	CHLD2	piglet	4of7	4C	12-Mar-18	female	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
319	CHLD2	mouse	27	E12	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
320	CHLD2	mouse	27	E13	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
321	CHLD2	mouse	27	E14	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
322	CHLD2	mouse	27	E15	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
331	CHLD2	mouse	27	E18	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
332	CHLD2	mouse	27	E19	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
333	CHLD2	mouse	27	E20	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
503	CHLD2	mouse	22	E11	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
514	CHLD2	mouse	22	E16	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
515	CHLD2	mouse	22	E17	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
249	CHLD2	piglet	4of7	4A	7-Apr-18	male	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
250	CHLD2	piglet	4of7	4B	7-Apr-18	male	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
251	CHLD2	piglet	4of7	4C	7-Apr-18	female	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
410	CHLD2	mouse	27	F11	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
411	CHLD2	mouse	27	F12	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
412	CHLD2	mouse	27	F13	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
413	CHLD2	mouse	27	F14	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
414	CHLD2	mouse	27	F15	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
