SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Time_point	Description
162	ELD2	mouse	29	B31	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
169	ELD2	mouse	29	B32	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
170	ELD2	mouse	29	B33	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
171	ELD2	mouse	29	B34	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
172	ELD2	mouse	29	B35	22-Aug-17	male	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
173	ELD2	mouse	29	B36	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
174	ELD2	mouse	29	B37	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
182	ELD2	mouse	29	B39	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
183	ELD2	mouse	29	B40	22-Aug-17	female	NA	solid	fecal	NA	green	1week_mouse	1week_post_inoc
94	ELD2	piglet	6of7	6A	7-Mar-18	NA	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
95	ELD2	piglet	6of7	6B	7-Mar-18	NA	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
96	ELD2	piglet	6of7	6C	7-Mar-18	NA	NA	solid	fecal	NA	blue	1week_pig	1week_post_inoc
553	ELD2	mouse	29	31	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
554	ELD2	mouse	29	32	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
555	ELD2	mouse	29	33	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
556	ELD2	mouse	29	34	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
557	ELD2	mouse	29	35	3-Oct-17	male	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
558	ELD2	mouse	29	36	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
565	ELD2	mouse	29	37	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
566	ELD2	mouse	29	38	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
567	ELD2	mouse	29	39	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
568	ELD2	mouse	29	40	3-Oct-17	female	NA	solid	fecal	NA	green	euthan_mouse	24h_before_euthanization
243	ELD2	mouse	29	C31	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
244	ELD2	mouse	29	C32	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
245	ELD2	mouse	29	C33	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
246	ELD2	mouse	29	C34	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
253	ELD2	mouse	29	C35	29-Aug-17	male	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
254	ELD2	mouse	29	C36	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
255	ELD2	mouse	29	C37	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
256	ELD2	mouse	29	C38	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
257	ELD2	mouse	29	C39	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
258	ELD2	mouse	29	C40	29-Aug-17	female	NA	solid	fecal	NA	green	2weeks_mouse	2weeks_post_inoc
187	ELD2	piglet	6of7	6A	14-Mar-18	female	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
188	ELD2	piglet	6of7	6B	14-Mar-18	male	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
189	ELD2	piglet	6of7	6C	14-Mar-18	male	NA	solid	fecal	NA	blue	2weeks_pig	2weeks_post_inoc
295	ELD2	mouse	29	D37	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
296	ELD2	mouse	29	D38	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
297	ELD2	mouse	29	D39	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
298	ELD2	mouse	29	D40	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
373	ELD2	mouse	29	D31	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
374	ELD2	mouse	29	D32	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
375	ELD2	mouse	29	D33	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
376	ELD2	mouse	29	D34	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
377	ELD2	mouse	29	D35	5-Sep-17	male	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
378	ELD2	mouse	29	D36	5-Sep-17	female	NA	solid	fecal	NA	green	3weeks_mouse	3weeks_post_inoc
294	ELD2	piglet	6of7	6A	21-Mar-18	female	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
301	ELD2	piglet	6of7	6B	21-Mar-18	female	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
302	ELD2	piglet	6of7	6C	21-Mar-18	female	NA	solid	fecal	NA	blue	3weeks_pig	3weeks_post_inoc
89	ELD2	mouse	29	A31	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
90	ELD2	mouse	29	A32	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
100	ELD2	mouse	29	A36	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
101	ELD2	mouse	29	A37	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
