SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Color_tp	Time_point	Description
111	INF2	mouse	22	B2	22-Aug-17	male	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
112	INF2	mouse	22	B4	22-Aug-17	male	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
113	INF2	mouse	22	B5	22-Aug-17	male	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
114	INF2	mouse	22	B6	22-Aug-17	female	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
121	INF2	mouse	22	B7	22-Aug-17	female	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
122	INF2	mouse	22	B8	22-Aug-17	female	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
123	INF2	mouse	22	B9	22-Aug-17	female	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
124	INF2	mouse	22	B10	22-Aug-17	female	NA	solid	fecal	NA	green	blue	1week_mouse	1week_post_inoc
81	INF2	piglet	3of7	3A	7-Mar-18	male	late	solid	fecal	NA	blue	green	1week_pig	1week_post_inoc
82	INF2	piglet	3of7	3B	7-Mar-18	female	late	solid	fecal	NA	blue	green	1week_pig	1week_post_inoc
83	INF2	piglet	3of7	3C	7-Mar-18	male	late	solid	fecal	NA	blue	green	1week_pig	1week_post_inoc
453	INF2	mouse	22	4	3-Oct-17	male	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
454	INF2	mouse	22	5	3-Oct-17	male	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
455	INF2	mouse	22	6	3-Oct-17	female	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
456	INF2	mouse	22	7	3-Oct-17	female	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
463	INF2	mouse	22	8	3-Oct-17	female	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
464	INF2	mouse	22	9	3-Oct-17	female	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
465	INF2	mouse	22	10	3-Oct-17	female	NA	solid	fecal	NA	green	yellow	euthan_mouse	24h_before_euthanization
193	INF2	mouse	22	C5	29-Aug-17	male	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
194	INF2	mouse	22	C6	29-Aug-17	female	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
195	INF2	mouse	22	C7	29-Aug-17	female	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
196	INF2	mouse	22	C8	29-Aug-17	female	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
197	INF2	mouse	22	C9	29-Aug-17	female	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
198	INF2	mouse	22	C10	29-Aug-17	female	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
185	INF2	mouse	22	C2	29-Aug-17	male	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
186	INF2	mouse	22	C4	29-Aug-17	male	NA	solid	fecal	NA	green	purple	2weeks_mouse	2weeks_post_inoc
175	INF2	piglet	3of7	3A	14-Mar-18	male	late	solid	fecal	NA	blue	brown	2weeks_pig	2weeks_post_inoc
176	INF2	piglet	3of7	3B	14-Mar-18	female	late	solid	fecal	NA	blue	brown	2weeks_pig	2weeks_post_inoc
177	INF2	piglet	3of7	3C	14-Mar-18	male	late	solid	fecal	NA	blue	brown	2weeks_pig	2weeks_post_inoc
265	INF2	mouse	22	D4	5-Sep-17	male	NA	solid	fecal	NA	green	black	3weeks_mouse	3weeks_post_inoc
266	INF2	mouse	22	D5	5-Sep-17	male	NA	solid	fecal	NA	green	black	3weeks_mouse	3weeks_post_inoc
267	INF2	mouse	22	D6	5-Sep-17	female	NA	solid	fecal	NA	green	black	3weeks_mouse	3weeks_post_inoc
