SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Time_point	Description
29	INF2	mouse	22	A1	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
30	INF2	mouse	22	A2	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
37	INF2	mouse	22	A3	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
38	INF2	mouse	22	A4	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
39	INF2	mouse	22	A5	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
40	INF2	mouse	22	A6	17-Aug-17	female	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
41	INF2	mouse	22	A7	17-Aug-17	female	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
42	INF2	mouse	22	A8	17-Aug-17	female	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
43	INF2	piglet	SF6	SF6A	17-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
44	INF2	piglet	SF6	SF6B	17-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
45	INF2	piglet	SF6	SF6C	17-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
46	INF1	piglet	SF7	SF7A	23-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
47	INF1	piglet	SF7	SF7B	23-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
48	INF1	piglet	SF7	SF7C	23-Feb-18	female	early	milk	fecal	NA	48_hrs	48hrs_post_inoc
49	INF2	mouse	22	A9	17-Aug-17	female	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
50	INF2	mouse	22	A10	17-Aug-17	female	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
51	CHLD2	mouse	27	A11	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
52	CHLD2	mouse	27	A12	17-Aug-17	male	NA	solid	fecal	NA	48_hrs	48hrs_post_inoc
